"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0021515","cell differentiation in spinal cord",50,2,0.38,207,0.05564,0.05564,"ASCL1,SOX6"
"GO:0007215","glutamate receptor signaling pathway",50,2,0.38,208,0.05564,0.05564,"GRIK2,GRM7"
"GO:0018958","phenol-containing compound metabolic process",114,3,0.87,211,0.05648,0.05648,"IYD,PMEL,SULT2A1"
"GO:0099565","chemical synaptic transmission, postsynaptic",114,3,0.87,212,0.05648,0.05648,"GLRA3,GRIK2,NRXN1"
"GO:0019693","ribose phosphate metabolic process",381,8,2.9,64,0.05683,0.00882,"ACSBG1,CROT,HMGCS1,MVD,NUDT4,SULT1E1,SULT2A1,UPB1"
"GO:0050885","neuromuscular process controlling balance",51,2,0.39,213,0.05763,0.05763,"IGDCC3,NRXN1"
"GO:0050819","negative regulation of coagulation",51,2,0.39,214,0.05763,0.05763,"APOH,HS3ST5"
"GO:0010043","response to zinc ion",51,2,0.39,215,0.05763,0.05763,"HAAO,SLC30A8"
"GO:0009261","ribonucleotide catabolic process",51,2,0.39,216,0.05763,0.05763,"NUDT4,UPB1"
"GO:0071466","cellular response to xenobiotic stimulus",192,4,1.46,217,0.05929,0.05929,"CYP2A6,CYP2W1,SULT2A1,UGT2B15"
"GO:0045332","phospholipid translocation",52,2,0.4,220,0.05965,0.05965,"ATP10B,ATP8A1"
"GO:0035176","social behavior",52,2,0.4,221,0.05965,0.05965,"NRXN1,SLC6A4"
"GO:0044419","biological process involved in interspecies interaction between organisms",1709,19,13.02,222,0.05981,0.05981,"ADAM8,C4A,C4B,C4BPA,C4BPB,GKN2,GPM6A,HLA-G,HPX,HS3ST5,LRAT,PRSS3,SLC15A2,SLC30A8,TF,TRIM31,TSG101,VIL1,ZG16"
"GO:0051260","protein homooligomerization",194,4,1.48,223,0.06113,0.06113,"COMP,GLRA3,HLA-G,UPB1"
"GO:0006695","cholesterol biosynthetic process",53,2,0.4,225,0.06168,0.06168,"HMGCS1,MVD"
"GO:0043525","positive regulation of neuron apoptotic process",53,2,0.4,226,0.06168,0.06168,"ASCL1,GRIK2"
"GO:1902653","secondary alcohol biosynthetic process",53,2,0.4,227,0.06168,0.06168,"HMGCS1,MVD"
"GO:0030834","regulation of actin filament depolymerization",53,2,0.4,228,0.06168,0.06168,"SPTBN5,VIL1"
"GO:0050805","negative regulation of synaptic transmission",54,2,0.41,231,0.06375,0.06375,"GRIK2,SLC6A4"
"GO:0051703","biological process involved in intraspecies interaction between organisms",54,2,0.41,232,0.06375,0.06375,"NRXN1,SLC6A4"
"GO:0009395","phospholipid catabolic process",54,2,0.41,233,0.06375,0.06375,"ABHD16A,SMPD3"
"GO:0010817","regulation of hormone levels",535,12,4.08,15,0.06579,0.00081,"CRY2,CYP2W1,FAM3D,IYD,LRAT,SLC22A9,SLC30A8,SMPD3,SULT1E1,SULT2A1,UCN3,UGT2B15"
"GO:0048008","platelet-derived growth factor receptor signaling pathway",55,2,0.42,234,0.06583,0.06583,"APOD,SMPD3"
"GO:0043616","keratinocyte proliferation",56,2,0.43,235,0.06794,0.06794,"PTPRK,WNT16"
"GO:0052372","modulation by symbiont of entry into host",56,2,0.43,236,0.06794,0.06794,"HS3ST5,TRIM31"
"GO:0034204","lipid translocation",57,2,0.43,238,0.07007,0.07007,"ATP10B,ATP8A1"
"GO:0043113","receptor clustering",57,2,0.43,239,0.07007,0.07007,"GRIK2,NRXN1"
"GO:0002455","humoral immune response mediated by circulating immunoglobulin",55,5,0.42,1,0.07168,6.1e-05,"C4A,C4B,C4BPA,C4BPB,HPX"
"GO:0030042","actin filament depolymerization",58,2,0.44,242,0.07222,0.07222,"SPTBN5,VIL1"
"GO:0006826","iron ion transport",58,2,0.44,243,0.07222,0.07222,"HPX,TF"
"GO:0009566","fertilization",206,4,1.57,244,0.07275,0.07275,"ABHD2,ATP1A4,PRDM9,SPACA4"
"GO:0006629","lipid metabolic process",1385,21,10.55,22,0.07311,0.00181,"ABCA8,ABHD16A,ABHD2,ACSBG1,APOD,APOH,B3GALT2,CHKA,CROT,CYP2A6,CYP2W1,FUT3,HMGCS1,LRAT,MVD,PIP5K1B,SMPD3,ST8SIA4,SULT1E1,SULT2A1,UGT2B15"
"GO:0098598","learned vocalization behavior or vocal learning",10,1,0.08,245,0.07363,0.07363,"NRXN1"
"GO:1900378","positive regulation of secondary metabolite biosynthetic process",10,1,0.08,246,0.07363,0.07363,"PMEL"
"GO:0006646","phosphatidylethanolamine biosynthetic process",10,1,0.08,247,0.07363,0.07363,"CHKA"
"GO:0048023","positive regulation of melanin biosynthetic process",10,1,0.08,248,0.07363,0.07363,"PMEL"
"GO:0008300","isoprenoid catabolic process",10,1,0.08,249,0.07363,0.07363,"CYP2W1"
"GO:2000849","regulation of glucocorticoid secretion",10,1,0.08,250,0.07363,0.07363,"CRY2"
"GO:0001915","negative regulation of T cell mediated cytotoxicity",10,1,0.08,251,0.07363,0.07363,"HLA-G"
"GO:1901388","regulation of transforming growth factor beta activation",10,1,0.08,252,0.07363,0.07363,"ADAM8"
"GO:0051593","response to folic acid",10,1,0.08,253,0.07363,0.07363,"ASCL1"
"GO:0001731","formation of translation preinitiation complex",10,1,0.08,254,0.07363,0.07363,"EIF2S3B"
"GO:0097104","postsynaptic membrane assembly",10,1,0.08,255,0.07363,0.07363,"NRXN1"
"GO:0001820","serotonin secretion",10,1,0.08,256,0.07363,0.07363,"SLC6A4"
"GO:0015886","heme transport",10,1,0.08,257,0.07363,0.07363,"HPX"
"GO:0051707","response to other organism",1531,17,11.66,258,0.07374,0.07374,"ADAM8,C4A,C4B,C4BPA,C4BPB,GKN2,GPM6A,HLA-G,HPX,LRAT,PRSS3,SLC15A2,SLC30A8,TF,TRIM31,VIL1,ZG16"
"GO:0050881","musculoskeletal movement",59,2,0.45,261,0.07439,0.07439,"ASCL1,COMP"
"GO:0031638","zymogen activation",59,2,0.45,262,0.07439,0.07439,"APOH,PRSS3"
"GO:0043207","response to external biotic stimulus",1534,17,11.68,263,0.07479,0.07479,"ADAM8,C4A,C4B,C4BPA,C4BPB,GKN2,GPM6A,HLA-G,HPX,LRAT,PRSS3,SLC15A2,SLC30A8,TF,TRIM31,VIL1,ZG16"
"GO:0023061","signal release",483,7,3.68,264,0.07639,0.07639,"CRY2,FAM3D,NRXN1,SLC30A8,SLC6A4,SMPD3,UCN3"
"GO:0050879","multicellular organismal movement",60,2,0.46,265,0.07659,0.07659,"ASCL1,COMP"
"GO:0051785","positive regulation of nuclear division",60,2,0.46,266,0.07659,0.07659,"PRDM9,SMPD3"
"GO:0016126","sterol biosynthetic process",60,2,0.46,267,0.07659,0.07659,"HMGCS1,MVD"
"GO:0006639","acylglycerol metabolic process",130,3,0.99,268,0.07712,0.07712,"ABHD16A,ABHD2,APOH"
"GO:0006638","neutral lipid metabolic process",131,3,1,269,0.07851,0.07851,"ABHD16A,ABHD2,APOH"
"GO:0046328","regulation of JNK cascade",131,3,1,270,0.07851,0.07851,"GRIK2,NOX1,WNT16"
"GO:0022617","extracellular matrix disassembly",61,2,0.46,271,0.0788,0.0788,"ADAM8,CTSV"
"GO:0021548","pons development",11,1,0.08,272,0.08069,0.08069,"ASCL1"
"GO:0006568","tryptophan metabolic process",11,1,0.08,273,0.08069,0.08069,"HAAO"
"GO:0003357","noradrenergic neuron differentiation",11,1,0.08,274,0.08069,0.08069,"ASCL1"
"GO:0060272","embryonic skeletal joint morphogenesis",11,1,0.08,275,0.08069,0.08069,"COL2A1"
"GO:1905208","negative regulation of cardiocyte differentiation",11,1,0.08,276,0.08069,0.08069,"SOX6"
"GO:0010248","establishment or maintenance of transmembrane electrochemical gradient",11,1,0.08,277,0.08069,0.08069,"ATP1A4"
"GO:0006686","sphingomyelin biosynthetic process",11,1,0.08,278,0.08069,0.08069,"ABCA8"
"GO:0033625","positive regulation of integrin activation",11,1,0.08,279,0.08069,0.08069,"CDH17"
"GO:0072497","mesenchymal stem cell differentiation",11,1,0.08,280,0.08069,0.08069,"SOX6"
"GO:0061140","lung secretory cell differentiation",11,1,0.08,281,0.08069,0.08069,"ASCL1"
"GO:0060581","cell fate commitment involved in pattern specification",11,1,0.08,282,0.08069,0.08069,"ASCL1"
"GO:0048505","regulation of timing of cell differentiation",11,1,0.08,283,0.08069,0.08069,"ASCL1"
"GO:0060579","ventral spinal cord interneuron fate commitment",11,1,0.08,284,0.08069,0.08069,"ASCL1"
"GO:1904424","regulation of GTP binding",11,1,0.08,285,0.08069,0.08069,"ARHGAP28"
