"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0046394","carboxylic acid biosynthetic process",321,16,5.24,4,0.01628,8e-05,"ABHD3,ACMSD,ACSM3,ACSM6,BHMT,CPS1,CYP2C9,CYP4F11,ELOVL3,ELOVL7,FA2H,GGT1,HOGA1,NOXRED1,OLAH,PTGES"
"GO:0021591","ventricular system development",33,3,0.54,171,0.01634,0.01634,"DNAH5,KIF27,TSKU"
"GO:0070293","renal absorption",34,3,0.55,173,0.01771,0.01771,"CTNS,KCNQ1,SLC12A3"
"GO:0055075","potassium ion homeostasis",34,3,0.55,174,0.01771,0.01771,"FXYD2,KCNQ1,SLC12A3"
"GO:0010526","retrotransposon silencing",34,3,0.55,175,0.01771,0.01771,"APOBEC3H,TDRD9,ZNF91"
"GO:0006026","aminoglycan catabolic process",34,3,0.55,176,0.01771,0.01771,"CTBS,FUCA1,HYAL1"
"GO:0016053","organic acid biosynthetic process",324,16,5.29,5,0.0178,8.9e-05,"ABHD3,ACMSD,ACSM3,ACSM6,BHMT,CPS1,CYP2C9,CYP4F11,ELOVL3,ELOVL7,FA2H,GGT1,HOGA1,NOXRED1,OLAH,PTGES"
"GO:0032411","positive regulation of transporter activity",93,5,1.52,177,0.01811,0.01811,"FXYD2,GLRX,STAC3,STIM2,TRPC6"
"GO:0070294","renal sodium ion absorption",13,2,0.21,178,0.01837,0.01837,"KCNQ1,SLC12A3"
"GO:0042761","very long-chain fatty acid biosynthetic process",13,2,0.21,179,0.01837,0.01837,"ELOVL3,ELOVL7"
"GO:0071941","nitrogen cycle metabolic process",13,2,0.21,180,0.01837,0.01837,"CPS1,CYP2C9"
"GO:0032494","response to peptidoglycan",13,2,0.21,181,0.01837,0.01837,"C5AR1,IL6"
"GO:0030497","fatty acid elongation",13,2,0.21,182,0.01837,0.01837,"ELOVL3,ELOVL7"
"GO:0019627","urea metabolic process",13,2,0.21,183,0.01837,0.01837,"CPS1,CYP2C9"
"GO:0015851","nucleobase transport",13,2,0.21,184,0.01837,0.01837,"SLC23A3,SLC28A2"
"GO:0015838","amino-acid betaine transport",13,2,0.21,185,0.01837,0.01837,"SLC22A5,SLC6A14"
"GO:0042976","activation of Janus kinase activity",13,2,0.21,186,0.01837,0.01837,"CCL5,PRLR"
"GO:0070493","thrombin-activated receptor signaling pathway",13,2,0.21,187,0.01837,0.01837,"F2RL2,MET"
"GO:0045006","DNA deamination",13,2,0.21,188,0.01837,0.01837,"AICDA,APOBEC3H"
"GO:0015695","organic cation transport",62,4,1.01,189,0.01847,0.01847,"SLC19A3,SLC22A5,SLC44A3,SLC6A14"
"GO:0009112","nucleobase metabolic process",35,3,0.57,190,0.01914,0.01914,"CPS1,GDA,XDH"
"GO:0046942","carboxylic acid transport",349,14,5.69,42,0.0192,0.00186,"CPT1B,CTNS,MFSD2A,PTGES,SLC10A2,SLC16A4,SLC16A6,SLC22A9,SLC23A3,SLC26A2,SLC26A5,SLC36A2,SLC6A14,SLC6A6"
"GO:0015849","organic acid transport",350,14,5.71,43,0.01958,0.00191,"CPT1B,CTNS,MFSD2A,PTGES,SLC10A2,SLC16A4,SLC16A6,SLC22A9,SLC23A3,SLC26A2,SLC26A5,SLC36A2,SLC6A14,SLC6A6"
"GO:0032197","retrotransposition",36,3,0.59,197,0.02063,0.02063,"APOBEC3H,TDRD9,ZNF91"
"GO:0071711","basement membrane organization",36,3,0.59,198,0.02063,0.02063,"LAMA1,LAMC1,NID2"
"GO:0046618","xenobiotic export from cell",14,2,0.23,201,0.02121,0.02121,"SLC17A3,SLC22A5"
"GO:0045117","azole transmembrane transport",14,2,0.23,202,0.02121,0.02121,"SLC19A3,SLC28A2"
"GO:0051149","positive regulation of muscle cell differentiation",65,4,1.06,204,0.02159,0.02159,"ATP11A,LAMA1,LAMC1,MDM2"
"GO:0016042","lipid catabolic process",334,11,5.45,205,0.02166,0.02166,"ABHD3,CPS1,CPT1B,DPEP1,FUCA1,LPIN3,MFSD2A,PLA2G6,PLCB2,PLCXD2,SPP1"
"GO:0016054","organic acid catabolic process",250,9,4.08,206,0.0219,0.0219,"ABHD3,ACMSD,CPT1B,CRYM,DPEP1,HAL,HOGA1,LPIN3,MFSD2A"
"GO:0046395","carboxylic acid catabolic process",250,9,4.08,207,0.0219,0.0219,"ABHD3,ACMSD,CPT1B,CRYM,DPEP1,HAL,HOGA1,LPIN3,MFSD2A"
"GO:0044283","small molecule biosynthetic process",590,22,9.63,12,0.02205,0.00029,"ABHD3,ACMSD,ACSM3,ACSM6,BHMT,CPS1,CYP2C9,CYP4F11,ELOVL3,ELOVL7,FA2H,FDXR,FOXO1,GGT1,HOGA1,IPMK,NOXRED1,NPC1L1,OLAH,PTGES,SLC19A3,SPTLC3"
"GO:0010863","positive regulation of phospholipase C activity",37,3,0.6,208,0.02219,0.02219,"C5AR1,PLCB2,S1PR4"
"GO:0015698","inorganic anion transport",167,10,2.72,16,0.02276,0.00043,"APOL1,KCNQ1,SLC12A3,SLC17A1,SLC17A3,SLC25A27,SLC26A2,SLC26A5,SLC5A5,SLC6A14"
"GO:0034656","nucleobase-containing small molecule catabolic process",29,5,0.47,6,0.02378,9.6e-05,"AICDA,APOBEC3H,GDA,UPP1,XDH"
"GO:0035633","maintenance of blood-brain barrier",38,3,0.62,211,0.02381,0.02381,"IL6,LAMC1,MFSD2A"
"GO:0006979","response to oxidative stress",383,12,6.25,212,0.02384,0.02384,"ANGPTL7,AREG,CPEB2,EPAS1,ERMP1,FOXO1,HYAL1,IL6,MDM2,MET,RHOB,VNN1"
"GO:1902358","sulfate transmembrane transport",15,2,0.24,213,0.02421,0.02421,"SLC26A2,SLC26A5"
"GO:0051791","medium-chain fatty acid metabolic process",15,2,0.24,214,0.02421,0.02421,"ABHD3,OLAH"
"GO:2000651","positive regulation of sodium ion transmembrane transporter activity",15,2,0.24,215,0.02421,0.02421,"FXYD2,GLRX"
"GO:0046348","amino sugar catabolic process",15,2,0.24,216,0.02421,0.02421,"CTBS,HOGA1"
"GO:0045838","positive regulation of membrane potential",15,2,0.24,217,0.02421,0.02421,"CTNS,GLRX"
