"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0021889","olfactory bulb interneuron differentiation",11,2,0.15,323,0.00895,0.00895,"ROBO1,ROBO2"
"GO:0031953","negative regulation of protein autophosphorylation",11,2,0.15,324,0.00895,0.00895,"ERRFI1,PTPRC"
"GO:0071872","cellular response to epinephrine stimulus",11,2,0.15,325,0.00895,0.00895,"PDE4B,SNCA"
"GO:1905809","negative regulation of synapse organization",11,2,0.15,326,0.00895,0.00895,"EPHA7,ROBO2"
"GO:0003139","secondary heart field specification",11,2,0.15,327,0.00895,0.00895,"AXIN2,MEF2C"
"GO:0031340","positive regulation of vesicle fusion",11,2,0.15,328,0.00895,0.00895,"SNCA,SYT1"
"GO:0046549","retinal cone cell development",11,2,0.15,329,0.00895,0.00895,"DIO3,HCN1"
"GO:0061564","axon development",509,21,6.77,34,0.00929,4.7e-06,"CNTN1,CNTNAP1,EPHA3,EPHA7,ETV1,FEZ1,FZD3,GPM6B,ITGA4,LAMA2,LHX9,MAP1A,MGARP,NCAM2,NEFL,NR4A2,PAX6,ROBO1,ROBO2,RPS6KA5,SLITRK6"
"GO:0001782","B cell homeostasis",33,3,0.44,334,0.00945,0.00945,"DOCK10,MEF2C,PPP2R3C"
"GO:0009581","detection of external stimulus",137,6,1.82,338,0.01008,0.01008,"ANO3,CHRNA9,COL11A1,CRB1,ELOVL4,EYS"
"GO:0035909","aorta morphogenesis",34,3,0.45,340,0.01026,0.01026,"COL3A1,SIX1,TBX2"
"GO:0086004","regulation of cardiac muscle cell contraction",34,3,0.45,341,0.01026,0.01026,"ANK2,CACNA1C,PDE4B"
"GO:0060349","bone morphogenesis",99,5,1.32,344,0.01038,0.01038,"AXIN2,COL3A1,FOXN3,MEF2C,TWIST1"
"GO:0003207","cardiac chamber formation",12,2,0.16,347,0.01065,0.01065,"MEF2C,TBX2"
"GO:0009950","dorsal/ventral axis specification",12,2,0.16,348,0.01065,0.01065,"AXIN2,PAX6"
"GO:2000288","positive regulation of myoblast proliferation",12,2,0.16,349,0.01065,0.01065,"MEIS2,SIX1"
"GO:0014842","regulation of skeletal muscle satellite cell proliferation",12,2,0.16,350,0.01065,0.01065,"ANGPT1,SIX1"
"GO:0048755","branching morphogenesis of a nerve",12,2,0.16,351,0.01065,0.01065,"DLX2,EPHA7"
