"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0016338","calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules",23,2,0.2,148,0.0175,0.0175,"CLDN15,CLDN2"
"GO:0072202","cell differentiation involved in metanephros development",23,2,0.2,149,0.0175,0.0175,"PAX2,POU3F3"
"GO:0030166","proteoglycan biosynthetic process",65,3,0.58,157,0.02001,0.02001,"CHSY3,DSEL,GAL3ST3"
"GO:0051016","barbed-end actin filament capping",25,2,0.22,160,0.02051,0.02051,"SCIN,VIL1"
"GO:0070830","bicellular tight junction assembly",66,3,0.59,161,0.02083,0.02083,"CLDN15,CLDN2,GPBAR1"
"GO:0006935","chemotaxis",460,9,4.08,164,0.02163,0.02163,"C5,CXCL14,ENPP2,FLT1,ITGA1,MMP28,PDGFA,PDGFRB,PIK3CB"
"GO:0051057","positive regulation of small GTPase mediated signal transduction",67,3,0.59,165,0.02167,0.02167,"ADCYAP1R1,LPAR6,PIK3CB"
"GO:0046486","glycerolipid metabolic process",386,8,3.42,166,0.02194,0.02194,"ENPP2,FABP3,GAL3ST1,MOGAT3,NAAA,PDGFA,PDGFRB,PIK3CB"
"GO:0090218","positive regulation of lipid kinase activity",26,2,0.23,167,0.02209,0.02209,"FLT1,PDGFRB"
"GO:0042330","taxis",462,9,4.1,169,0.02217,0.02217,"C5,CXCL14,ENPP2,FLT1,ITGA1,MMP28,PDGFA,PDGFRB,PIK3CB"
"GO:0030193","regulation of blood coagulation",68,3,0.6,170,0.02253,0.02253,"KNG1,PDGFA,ST3GAL4"
"GO:0046578","regulation of Ras protein signal transduction",183,5,1.62,173,0.02366,0.02366,"ARFGAP1,LPAR6,MYOC,PIK3CB,TRIM67"
"GO:0030204","chondroitin sulfate metabolic process",27,2,0.24,174,0.02372,0.02372,"CHSY3,DSEL"
"GO:0016188","synaptic vesicle maturation",27,2,0.24,175,0.02372,0.02372,"ATP6AP2,UNC13C"
"GO:0072012","glomerulus vasculature development",27,2,0.24,176,0.02372,0.02372,"AQP1,PDGFRB"
"GO:0061045","negative regulation of wound healing",70,3,0.62,178,0.0243,0.0243,"KNG1,PDGFA,WFDC1"
"GO:1900046","regulation of hemostasis",70,3,0.62,179,0.0243,0.0243,"KNG1,PDGFA,ST3GAL4"
"GO:0010758","regulation of macrophage chemotaxis",28,2,0.25,181,0.0254,0.0254,"C5,MMP28"
"GO:1901679","nucleotide transmembrane transport",28,2,0.25,182,0.0254,0.0254,"SLC17A9,SLC33A1"
"GO:0010922","positive regulation of phosphatase activity",28,2,0.25,183,0.0254,0.0254,"ITGA1,PDGFRB"
"GO:0050818","regulation of coagulation",72,3,0.64,186,0.02614,0.02614,"KNG1,PDGFA,ST3GAL4"
"GO:0120192","tight junction assembly",72,3,0.64,187,0.02614,0.02614,"CLDN15,CLDN2,GPBAR1"
"GO:0140962","multicellular organismal-level chemical homeostasis",73,3,0.65,189,0.02708,0.02708,"AQP1,NAPSA,TMPRSS6"
"GO:0061440","kidney vasculature development",29,2,0.26,190,0.02712,0.02712,"AQP1,PDGFRB"
"GO:0061437","renal system vasculature development",29,2,0.26,191,0.02712,0.02712,"AQP1,PDGFRB"
"GO:0043297","apical junction assembly",74,3,0.66,194,0.02805,0.02805,"CLDN15,CLDN2,GPBAR1"
"GO:0060191","regulation of lipase activity",75,3,0.67,195,0.02903,0.02903,"ANGPTL3,FLT1,PDGFRB"
"GO:0003018","vascular process in circulatory system",263,6,2.33,196,0.02997,0.02997,"ABCC5,ITGA1,KCNMB2,KNG1,SLC4A4,SLC5A1"
"GO:0034219","carbohydrate transmembrane transport",132,4,1.17,197,0.03003,0.03003,"AQP1,AQP7,PRKCI,SLC5A1"
"GO:1902882","regulation of response to oxidative stress",31,2,0.27,201,0.03071,0.03071,"ADCYAP1R1,OXR1"
