our_line,our_subtype,depmap_name,depmap_ACH,depmap_RRID,depmap_oncotree_subtype,spearman_hvg,pearson_hvg,is_selfpair,self_rank_of67,margin_self_vs_next
VOA10816,CC,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.11581466988446557,0.08864217775072201,FALSE,NA,NA
VOA10816,CC,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.16358232848943433,0.15114252024905334,FALSE,NA,NA
VOA10816,CC,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.15724167108543466,0.11654654803133638,FALSE,NA,NA
VOA12539,CC,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.30778798960810555,0.32118227479835515,FALSE,NA,NA
VOA12539,CC,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.563348682902036,0.5774113079234128,FALSE,NA,NA
VOA12539,CC,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.2677312133709368,0.24980218756747377,FALSE,NA,NA
VOA12539,CC,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.3003152521967331,0.27859800719865624,FALSE,NA,NA
VOA12539,CC,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.295368715156237,0.2581103455795684,FALSE,NA,NA
VOA295,CC,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.28844307037974876,0.29543815481239083,FALSE,NA,NA
VOA295,CC,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.5583303513536066,0.5881996038667242,FALSE,NA,NA
VOA295,CC,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.1429914710340768,0.1189535785030528,FALSE,NA,NA
VOA295,CC,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.20307014508767338,0.17932697848526594,FALSE,NA,NA
VOA295,CC,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.2198610156507563,0.19617074990929337,FALSE,NA,NA
VOA4841,CC,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.271987688317542,0.26048921130806657,FALSE,NA,NA
VOA4841,CC,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.463710808380896,0.4605261070132917,FALSE,NA,NA
VOA4841,CC,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.1840113886925868,0.14307394033796605,FALSE,NA,NA
VOA4841,CC,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.21860365811732113,0.1854955941650872,FALSE,NA,NA
VOA4841,CC,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.2159456954105963,0.173028885475531,FALSE,NA,NA
VOA6861,CC,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.3269875073799875,0.3291497858495901,FALSE,NA,NA
VOA6861,CC,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.4432436814534211,0.4522468055028249,FALSE,NA,NA
VOA6861,CC,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.34505969498871136,0.31557283012080495,FALSE,NA,NA
VOA6861,CC,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.3281115709721234,0.29539499902881106,FALSE,NA,NA
VOA6861,CC,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.32665605146574533,0.28310198283120463,FALSE,NA,NA
TOV112D,EC,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.23139311492600131,0.21558054676783603,FALSE,NA,NA
TOV112D,EC,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.35967898619726424,0.331753494807796,FALSE,NA,NA
TOV112D,EC,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.8426045405801098,0.857231504062297,TRUE,1,0.20899638698186973
TOV112D,EC,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.5881148945218005,0.5488514106137344,FALSE,NA,NA
TOV112D,EC,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.596215968772078,0.5406882233044589,FALSE,NA,NA
VOA4395,EC,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.26480430710568176,0.25686944690647073,FALSE,NA,NA
VOA4395,EC,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.35693747457272207,0.3604110836777119,FALSE,NA,NA
VOA4395,EC,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.5505360779589247,0.5286398969412643,FALSE,NA,NA
VOA4395,EC,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.5149455809880408,0.47856810624025964,FALSE,NA,NA
VOA4395,EC,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.5125422270329262,0.47081767974041927,FALSE,NA,NA
TOV2414,MC,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.35737436343408346,0.34207564188486617,FALSE,NA,NA
TOV2414,MC,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.32979174803247824,0.34856594919798217,FALSE,NA,NA
TOV2414,MC,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.11399073474150495,0.07921956266578542,FALSE,NA,NA
TOV2414,MC,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.11866429818236691,0.09506043948377374,FALSE,NA,NA
TOV2414,MC,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.1297243846541621,0.10000970581251538,FALSE,NA,NA
VOA8762,MC,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.6342141489755396,0.6238221470351215,FALSE,NA,NA
VOA8762,MC,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.31663379662971786,0.32919275605492726,FALSE,NA,NA
VOA8762,MC,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.20191075403396277,0.18759339053219523,FALSE,NA,NA
VOA8762,MC,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.18401579952194713,0.17270270315652766,FALSE,NA,NA
VOA8762,MC,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.21046502449217808,0.19070303981724976,FALSE,NA,NA
VOA8771,MC,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.5314525491944894,0.5111260338776991,FALSE,NA,NA
VOA8771,MC,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.2968791729681309,0.29695590905798275,FALSE,NA,NA
VOA8771,MC,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.24308968405796116,0.22685815779883,FALSE,NA,NA
VOA8771,MC,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.22820489827299653,0.20779522971128767,FALSE,NA,NA
VOA8771,MC,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.246406634706768,0.21170256874932278,FALSE,NA,NA
VOA5217,MMMT,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.2630213958997981,0.26743120299409157,FALSE,NA,NA
VOA5217,MMMT,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.5088539275742956,0.5152496163568386,FALSE,NA,NA
VOA5217,MMMT,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.3002998626919382,0.26598497347006494,FALSE,NA,NA
VOA5217,MMMT,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.36278985614188414,0.3379894312935628,FALSE,NA,NA
VOA5217,MMMT,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.333785490643247,0.2846876267435426,FALSE,NA,NA
VOA5436,MMMT,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.3328821145695417,0.32361624553031854,FALSE,NA,NA
VOA5436,MMMT,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.47262328215873484,0.484405404871665,FALSE,NA,NA
VOA5436,MMMT,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.29483167567117535,0.26612550533131507,FALSE,NA,NA
VOA5436,MMMT,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.3596623918925407,0.34064703627836757,FALSE,NA,NA
VOA5436,MMMT,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.33937131544345983,0.31022136776216275,FALSE,NA,NA
BIN67,SCCOHT,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.1913927800731122,0.19589590631153392,FALSE,NA,NA
BIN67,SCCOHT,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.30692718125292323,0.29474585571191025,FALSE,NA,NA
BIN67,SCCOHT,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.5757061875754681,0.5791408245171862,FALSE,NA,NA
BIN67,SCCOHT,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.7392612108800652,0.7312478427654283,TRUE,1,0.035725443082889496
BIN67,SCCOHT,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.7035357677971757,0.6789362086190945,FALSE,NA,NA
COV434,SCCOHT,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.19030590881357587,0.18361288035723608,FALSE,NA,NA
COV434,SCCOHT,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.2934280703877155,0.27414572085711053,FALSE,NA,NA
COV434,SCCOHT,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.5425730151511066,0.5190142676379741,FALSE,NA,NA
COV434,SCCOHT,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.6817980415877982,0.6683709121534324,FALSE,NA,NA
COV434,SCCOHT,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.8227535638031122,0.8563320645503738,TRUE,1,0.14095552221531393
