cell_line,field,value,source_file,source_sheet,source_cell,source_sha256
OV3291,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,P3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV3291,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,Q3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV3291,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,T3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV3291,provider_run,4706,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,X3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV3291,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AC3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV3291,run_start_date,2018-05-25,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AD3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV3291,read_set_id,HI.4706.007.Index_8.OV3291_P46,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AE3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV3291,provider_number_of_reads,"58,967,358",mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AH3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV3291,provider_number_of_cycles,218,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AI3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV3331,provider_name,OV3331_P54,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3331,provider_library_name,OV3331_P54,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3331,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3331,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3331,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3331,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3331,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3331,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3331,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3331,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3331,read_set_id,HI.4316.006.Index_5.OV3331_P54,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3331,provider_number_of_reads,"60,139,298",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3331,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI7,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV90,provider_name,OV90_P63,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,A4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
