level,id,subtype,n,spearman,pearson,p_value,q_value,inference_note
per_gene,HERC2,NA,30,0.1818,0.3256,0.3364,0.4298,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HERC2P3,NA,13,0.3407,0.1022,0.2547,0.3449,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HERC4,NA,30,0.5466,0.5909,0.001776,0.006384,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HERC5,NA,23,0.4298,0.3774,0.04065,0.07927,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HERPUD1,NA,13,0.4286,0.4005,0.144,0.2173,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HERPUD2,NA,23,0.4575,0.5782,0.02816,0.05866,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HES1,NA,30,0.6534,0.6262,9.048e-5,6.223e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HEXA,NA,30,0.6222,0.5611,2.412e-4,0.001343,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HEXB,NA,30,0.7775,0.7896,4.305e-7,1.058e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HEXIM1,NA,30,0.4879,0.6008,0.006239,0.01753,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HEXIM2,NA,10,0.0182,0.123,0.9602,0.9711,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
