gene,n_paired,rna_min,rna_max,rna_range,rna_iqr,rna_sd,prot_min,prot_max,prot_range,prot_iqr,prot_sd,range_ratio_floor_sensitive,range_ratio,iqr_ratio,sd_ratio,complete30,rna_n_zero_lines,rna_has_zero,concord_spearman,is_adc_target
ACAD10,30,2.5835115581819017,4.607443179875828,2.0239316216939263,0.7355242606183383,0.5542753482295433,12.50412174588604,13.60241780585078,1.0982960599647402,0.2902383249970306,0.24468715934660565,0.5426547261737643,0.5426547261737643,0.39460061419732634,0.44145416195791704,TRUE,0,FALSE,0.2952,FALSE
ACAD11,30,0.7501102009818531,5.1624358104129175,4.412325609431065,2.236738192742382,1.3219260055131745,12.31231058261177,13.63853094583023,1.326220363218459,0.3517319673698811,0.2972688476870964,0.3005717348655656,0.3005717348655656,0.15725218468176447,0.22487555766912687,TRUE,0,FALSE,0.507,FALSE
ACAD8,30,1.6826630472660298,5.244221409232266,3.5615583619662363,1.1775395363085606,0.7941178308225835,11.38325225672395,12.68412493112318,1.3008726743992298,0.38434934866391757,0.27810537666450424,0.3652537856156468,0.3652537856156468,0.32640037706827646,0.350206689574556,TRUE,0,FALSE,0.5907,FALSE
ACAD9,30,4.570131425255508,6.54038675096724,1.9702553257117321,0.6793140904805757,0.4955637859236125,14.06636856018765,14.84457748553014,0.77820892534249,0.30563410567768123,0.21369737997861663,0.3949787193501791,0.3949787193501791,0.44991574583925187,0.43122073494602875,TRUE,0,FALSE,0.7615,FALSE
ACADM,30,1.8012553982821797,5.957979977974106,4.156724579691926,2.1312730471142434,1.2892583350207873,14.0491598196848,15.38466788373784,1.335508064053041,0.2978975530572807,0.2825257070685014,0.321288562292001,0.321288562292001,0.13977446646765218,0.21913816602469052,TRUE,0,FALSE,0.3117,FALSE
ACADS,30,1.073440490657003,5.151423653887962,4.077983163230959,1.077416774458309,0.8635938969792885,12.4640872756675,14.03642984505996,1.5723425693924593,0.7345605510102562,0.44593545611690283,0.38556867609691226,0.38556867609691226,0.6817793897626756,0.5163717085967291,TRUE,0,FALSE,0.7117,FALSE
ACADSB,30,0.4566810576800765,4.251505133775785,3.7948240760957086,1.7449561669968587,1.0445192126760319,13.29871976569841,15.01949238695122,1.7207726212528094,0.4037521732421805,0.3421670756097767,0.45345254134236973,0.45345254134236973,0.23138241571824383,0.3275833239420779,TRUE,0,FALSE,0.4892,FALSE
ACADVL,30,5.736926149224666,9.394653953283072,3.657727804058406,1.1351195076157978,1.010160659331724,14.7306066275034,15.71237306071167,0.9817664332082696,0.37494570546698114,0.2600992123145585,0.26840882804864746,0.26840882804864746,0.330313859423063,0.2574830151142772,TRUE,0,FALSE,0.6004,FALSE
ACAP1,30,1.6713840533199207,4.797693987099585,3.1263099337796643,1.5499634276576466,0.9009220018789931,9.155004834006656,10.60012883036292,1.4451239963562639,0.43605248589968326,0.3178562752159419,0.46224591514160257,0.46224591514160257,0.2813308224689272,0.352812201892073,TRUE,0,FALSE,-0.1457,FALSE
ACAP2,30,1.3124949324691002,4.303059819551536,2.990564887082436,1.3975518252572199,0.892866398368225,12.76113255111687,13.77769473465225,1.016562183535381,0.33834261083443096,0.25742209478020583,0.3399231322237347,0.3399231322237347,0.2420966469505765,0.2883097574851764,TRUE,0,FALSE,-0.0719,FALSE
ACAT1,30,2.8681345878362987,6.983300833698326,4.115166245862028,1.1469089247567172,1.1817141736695604,14.85172981892495,16.57726865022783,1.7255388313028792,0.44417274054778666,0.36205904204873246,0.4193120589084295,0.4193120589084295,0.3872781272863534,0.30638461492294333,TRUE,0,FALSE,0.6013,FALSE
ACAT2,30,2.499248918261571,6.600457096612558,4.101208178350987,1.4510796541701332,1.0425590140616803,12.17408145545869,14.15689293413116,1.9828114786724687,0.41169589259809136,0.36474250247283346,0.483470087946064,0.483470087946064,0.2837169492487569,0.34985309949202975,TRUE,0,FALSE,0.1826,FALSE
ACBD3,30,1.8523744484168183,5.683379251072547,3.8310048026557286,1.8663030324707655,1.0813855390350495,12.32853390086609,13.26965706964783,0.9411231687817398,0.17844936070955342,0.1921195376207073,0.24565961601753528,0.24565961601753528,0.0956164982882268,0.17766053889729366,TRUE,0,FALSE,0.3241,FALSE
ACBD5,30,0.7833711587875521,5.7205135537515135,4.937142394963962,2.1814186078123226,1.3057505064775827,12.52102930255892,13.68943073991535,1.1684014373564295,0.40709088875454924,0.29597945657870556,0.23665540587774728,0.23665540587774728,0.186617500784413,0.22667382100210348,TRUE,0,FALSE,0.6218,FALSE
ACBD6,30,4.264359040663387,6.430353090095494,2.165994049432107,0.7473252966017476,0.5441871503415238,9.90668328110958,10.47610260086679,0.5694193197572108,0.22585772595020792,0.14535403149747145,0.2628905282110561,0.2628905282110561,0.30222143821068637,0.2671030203602739,TRUE,0,FALSE,0.1635,FALSE
ACBD7,30,0.15724425022615535,4.064632840940466,3.907388590714311,1.053715428596015,0.8992498417706525,8.126923607201215,10.37564029451953,2.248716687318314,0.4000692584216168,0.4654696577092949,0.5755037245750941,0.5755037245750941,0.37967486055952937,0.5176199495267854,TRUE,0,FALSE,0.6614,FALSE
ACD,30,3.022183452345271,6.081716478898724,3.0595330265534533,1.0127306756883696,0.7103216756465691,7.229665606197681,9.522785035070353,2.2931194288726715,0.4670563706652775,0.46474451067125294,0.7494998122167217,0.7494998122167217,0.4611851718106708,0.6542733054685682,TRUE,0,FALSE,0.5003,FALSE
ACE2,30,0,7.780669448363063,7.780669448363063,2.2454905633199163,2.2266992147804165,11.23276017823741,15.00990991159327,3.777149733355861,0.9121991241673069,0.8051893213987644,0.48545305239133596,0.48545305239133596,0.4062360087671165,0.36160668493259757,TRUE,8,TRUE,0.6248,FALSE
ACIN1,30,5.541810775937137,7.657846391862755,2.116035615925618,0.738412648144454,0.5377001616925946,14.94032275399523,15.76160162170152,0.8212788677062886,0.2284648830357483,0.18471156453451537,0.38812147655985285,0.38812147655985285,0.309400013136089,0.3435214970980718,TRUE,0,FALSE,-0.2516,FALSE
ACLY,30,4.973997748474983,7.66272142584752,2.688723677372537,0.8170099014871077,0.6505392701107203,15.17074916743559,16.39136212379102,1.2206129563554295,0.4171372632419299,0.31549183299399713,0.453974860498953,0.453974860498953,0.5105657379214911,0.48496969743317897,TRUE,0,FALSE,0.329,FALSE
ACO1,30,2.4270033844812025,7.065337932157652,4.6383345476764495,1.1409770318788448,1.1193334179811139,14.04489257835048,15.25861711997676,1.2137245416262807,0.4123218060106897,0.3286672372405304,0.2616724880774911,0.2616724880774911,0.3613760790010997,0.29362764656247925,TRUE,0,FALSE,0.6667,FALSE
ACO2,30,5.148783695321467,7.649861730801578,2.501078035480111,0.837272104779359,0.5886608266078225,15.21467841576844,16.98182877898855,1.7671503632201109,0.24373165135910924,0.36390917072283857,0.7065554685425423,0.7065554685425423,0.2911020801574875,0.6181983822838649,TRUE,0,FALSE,0.7477,FALSE
ACOT1,30,0,4.416421394260005,4.416421394260005,1.4736226893709636,1.2386361987791354,9.634258851825116,11.04045517465246,1.406196322827343,0.3904410179423916,0.3285363392799703,0.31840175501707507,0.31840175501707507,0.26495318018553093,0.2652403826109659,TRUE,1,TRUE,0.1582,FALSE
ACOT11,17,1.1333964948597397,4.114250938306547,2.9808544434468076,1.5730191726485168,0.8966108887235459,7.806463831021338,9.202146047239756,1.3956822162184181,0.3431218034912522,0.3599008266542338,0.46821548743741054,0.46821548743741054,0.21812944778895016,0.4014013561296408,FALSE,0,FALSE,-0.0735,FALSE
