source_id,path,role,size_bytes,sha256,archive_member_sha256,archive_member_checksum_verified
CNVC038,models/TOV21G_P59.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745733,1ac5749964de62edc4fad6e03f013f24687f86daafdbbfbad44e8575dd6835e3,1ac5749964de62edc4fad6e03f013f24687f86daafdbbfbad44e8575dd6835e3,True
CNVC039,models/TOV2295_R_P57.targetcoverage.cnn,baseline_models target primary bin depth,18501957,e98a2b474cecfa6c6de4f2bebd5abb53f4b0e6d3eabb8f0203b011b92667a882,e98a2b474cecfa6c6de4f2bebd5abb53f4b0e6d3eabb8f0203b011b92667a882,True
CNVC040,models/TOV2295_R_P57.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745733,c4751feb16fe60084c33779bef7177eb2be2998407cb223eb247fc0a41f75621,c4751feb16fe60084c33779bef7177eb2be2998407cb223eb247fc0a41f75621,True
CNVC041,models/TOV2414_P65.targetcoverage.cnn,baseline_models target primary bin depth,18501590,1d22616db9431203ee9d0dfd3aebe5239b238aa7d4a1fee957564be51f1153d4,1d22616db9431203ee9d0dfd3aebe5239b238aa7d4a1fee957564be51f1153d4,True
CNVC042,models/TOV2414_P65.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745731,3eec861e06b42834e2a97fb98d2fb37ffbb61ae1f874a22d41fdb3768c310b27,3eec861e06b42834e2a97fb98d2fb37ffbb61ae1f874a22d41fdb3768c310b27,True
CNVC043,models/TOV2835EP_P64.targetcoverage.cnn,baseline_models target primary bin depth,18500855,467a3d8108225002a4f0adab3b300807e6c1a096e64d1d40be2ceddf59ef55fc,467a3d8108225002a4f0adab3b300807e6c1a096e64d1d40be2ceddf59ef55fc,True
CNVC044,models/TOV2835EP_P64.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745732,72e4212f2d24aa2ecb482f6ed95b8cf7fd10a57276b05873bf070fe20f7fdc39,72e4212f2d24aa2ecb482f6ed95b8cf7fd10a57276b05873bf070fe20f7fdc39,True
CNVC045,models/TOV2881EP_P64.targetcoverage.cnn,baseline_models target primary bin depth,18501912,5fe9cebc22f80d86b6e93c997ac3f83f1a77350e9432a89b4d62250c8e2131f8,5fe9cebc22f80d86b6e93c997ac3f83f1a77350e9432a89b4d62250c8e2131f8,True
CNVC046,models/TOV2881EP_P64.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745733,53fc7dead06cbf756870c559a9916640096d007cf08f0e11325106591b4bb75c,53fc7dead06cbf756870c559a9916640096d007cf08f0e11325106591b4bb75c,True
CNVC047,models/TOV2929D_P57.targetcoverage.cnn,baseline_models target primary bin depth,18501824,4c23d6d613ec8b5254477b4af07e986fc16775d23402fd3ac607764d3df2fc48,4c23d6d613ec8b5254477b4af07e986fc16775d23402fd3ac607764d3df2fc48,True
CNVC048,models/TOV2929D_P57.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745733,c86e8ae8b4f0263b95472ae7fb1bb58a2d1dc3fe348941e0f143bf11c4009a10,c86e8ae8b4f0263b95472ae7fb1bb58a2d1dc3fe348941e0f143bf11c4009a10,True
CNVC049,models/TOV3121D_P68.targetcoverage.cnn,baseline_models target primary bin depth,18501065,e8950fc2a5191c8e402b9c328a19442c95ef767d35265325863da65c149b2166,e8950fc2a5191c8e402b9c328a19442c95ef767d35265325863da65c149b2166,True
CNVC050,models/TOV3121D_P68.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745733,de9f2bfe3db450f220ce501017548d8f534ca4e359764af29e1be2e0e5472f17,de9f2bfe3db450f220ce501017548d8f534ca4e359764af29e1be2e0e5472f17,True
CNVC051,models/TOV3121EP_P68.targetcoverage.cnn,baseline_models target primary bin depth,18501893,6b62f8387f4c2c58e20385c6b64ecf52e352a7e076a66b8e0ce28bb49e1c5552,6b62f8387f4c2c58e20385c6b64ecf52e352a7e076a66b8e0ce28bb49e1c5552,True
CNVC052,models/TOV3121EP_P68.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745732,0d6137268911f3d48c214faa38389a416d37899eb633db939cc2e0f060c3e393,0d6137268911f3d48c214faa38389a416d37899eb633db939cc2e0f060c3e393,True
CNVC053,models/TOV3133D_P66.targetcoverage.cnn,baseline_models target primary bin depth,18501821,aa69490e7f318e1e014487fa0f08aaefd82238bc1f60aa42a605d3f9cc28debd,aa69490e7f318e1e014487fa0f08aaefd82238bc1f60aa42a605d3f9cc28debd,True
CNVC054,models/TOV3133D_P66.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745732,414086d612e1d2acdb69f795e43a358ef42fa4eb0d92d2cb11f019f6c3de90a2,414086d612e1d2acdb69f795e43a358ef42fa4eb0d92d2cb11f019f6c3de90a2,True
CNVC055,models/TOV3133G_P65.targetcoverage.cnn,baseline_models target primary bin depth,18501949,1e5da11a6f048e8c25640b17a00b9591b33b31009cbed3300d1d2a5ffd16f8fa,1e5da11a6f048e8c25640b17a00b9591b33b31009cbed3300d1d2a5ffd16f8fa,True
CNVC056,models/TOV3133G_P65.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745731,6e2e6e25f3f33fe627ffa87a4b1aeb616809c09a3ed3e2798c56d43cea527299,6e2e6e25f3f33fe627ffa87a4b1aeb616809c09a3ed3e2798c56d43cea527299,True
CNVC057,models/TOV3392D_P69.targetcoverage.cnn,baseline_models target primary bin depth,18502622,f67d92e21ac2b7aae898db1fdababba888333e5719a75d40f8561401b5a6406b,f67d92e21ac2b7aae898db1fdababba888333e5719a75d40f8561401b5a6406b,True
CNVC058,models/TOV3392D_P69.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745734,6b82da16dac34020d5f40a8aada41ed51584003e6d73d80fe80754cca629fb14,6b82da16dac34020d5f40a8aada41ed51584003e6d73d80fe80754cca629fb14,True
CNVC059,models/TOV81D_P23.targetcoverage.cnn,baseline_models target primary bin depth,18502272,fde9959ff24e45d8d57cbf53e6f674f8b57b5e11756d70d8276d3d0bd868005b,fde9959ff24e45d8d57cbf53e6f674f8b57b5e11756d70d8276d3d0bd868005b,True
CNVC060,models/TOV81D_P23.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745733,e8f50caa2fcaf3341dcdb1a19f636a6b539a6fc6dbbf418e89ed95157b3ec0f9,e8f50caa2fcaf3341dcdb1a19f636a6b539a6fc6dbbf418e89ed95157b3ec0f9,True
CNVC061,output/wes_recovered_provenance_cnv_support.csv,Previously audited model CNV measurement counts,16320,37c31d87e01b0b697d27178c1a82e6e772611b53f15afa21d2814a0a31720ffe,,False
