protein,OV1369-R2,OV1946,OV2085,OV2295,OV2295-R2,OV3133-R,OV3331,OV4453,OV4485,OV866-2,OV90,TOV1369,TOV3041G,TOV3133G,TOV3291G,TOV21G,TOV3392D,VOA10816,VOA12539,VOA14993,VOA295,VOA4841,TOV112D,VOA4395,TOV2414,VOA8762,VOA8771,VOA5217,VOA5436,BIN67,COV434
TMEM223,9.131120530447031,9.487557431087389,9.613170879329923,9.505019040249463,9.358944473157234,9.595212555261428,9.88669111524184,9.723427508178535,9.662770840128006,9.45488017637374,9.573396902174997,9.29405292795909,9.71530935436801,9.597176342652128,9.519634756704622,9.340522340166029,9.27802660082209,9.674073909588577,9.38462404367856,9.142883231982415,9.551139319998143,9.791161794224944,9.484879549454202,9.32609207178793,9.66367575883618,9.517574088865949,9.66542231476575,9.397690728100589,9.36943711857028,9.321035008897379,9.610690699590371
TMEM120B,9.514472697530469,9.65843850379911,9.802088451616525,10.18207534921467,10.14109018817499,9.560998978075409,10.0259140475769,9.683607441112656,9.3499252356718,9.854390480244035,9.873747315629101,9.675597276003286,9.502576360781267,9.734544672545269,9.523960824957046,9.720936040617978,9.648679463463242,9.692380841596599,9.938025520757849,9.495924811566493,9.962766697619399,9.795768436296461,9.751293571051301,9.730596716332906,9.91455384520871,9.497832528178813,9.824003580595928,9.765224151721435,10.13183641930824,9.584539615475572,9.887380020344063
ARHGAP10,NA,9.7356696507971,9.121326831491633,10.10269232934863,9.750199729353117,NA,9.879835066817032,9.603696156145263,9.521908820103645,NA,9.320910053120823,9.388110428448014,9.74738249644108,9.859217766003248,9.836585360606133,9.827150650368107,NA,NA,10.48218937124665,10.45758506326387,9.828201891824662,9.952855054428076,9.529382046877762,NA,9.89316569572439,9.092804293916283,9.924378937983986,9.523199480470884,9.875099333642693,9.851892137224967,NA
MEX3A,8.095657865811832,NA,8.687622299377828,NA,NA,8.13285366290264,NA,NA,8.002847893891762,8.329789819296659,NA,8.148880926964475,NA,NA,8.91723669561018,NA,8.31801351761156,7.910185027569046,8.80573811438941,NA,8.702392939373983,NA,NA,8.261489284451558,NA,NA,NA,NA,NA,NA,8.394357525749914
ILVBL,13.76611555603851,13.43076234687469,14.34343416087736,13.83511001534,13.67406403454436,13.80211585194591,13.89441753546899,13.68277722459685,14.12597835093875,13.61108540611496,13.27380897360502,13.66006733924098,13.88880754753221,13.71073235391365,13.58830481563678,13.66728322328154,13.64064041465072,13.45029720425259,13.34279964478585,13.54381935622475,13.6698357967548,13.79600999401638,13.45431949530503,13.62198936314677,13.8570914357925,13.65304975465979,13.62555690916813,13.66722164236602,13.97902126935046,13.70642221577085,13.51005555044155
C1orf226,9.5933122780177,NA,9.392001768415534,NA,NA,9.490920773431922,NA,NA,9.783044110670035,9.483231157021592,NA,9.542118753468083,NA,NA,9.851313333883086,NA,9.79890426707125,10.23765452611183,9.111161033532317,NA,9.541736578105855,NA,NA,9.159839896581328,NA,NA,NA,NA,NA,NA,9.22533141489762
NDUFAF8,10.37554653827297,10.31085192966394,10.05763531017274,10.4812874962415,10.32953979387629,10.3558771927847,10.295338999384,10.95097316254885,10.55687743924629,10.34563916207054,9.903191973540935,10.19654099903091,10.4325930535584,10.3770683423257,10.46140380145832,9.812889027912998,10.70478924535986,9.801156245290032,9.9691731164196309,10.07816097346556,10.00455934792138,10.17753617321538,9.80268365740586,10.36898779204909,10.27096467830883,9.651249012165312,10.05429407977295,9.973098697035521,10.39512230552673,10.22968083630218,10.44403497662715
PLEKHG3,11.54267477736157,11.2067413026207,11.75838168686779,11.61670346839458,11.4547077930635,11.81693134767922,11.64754508585809,11.43057116123405,12.16534560883839,11.69130966957282,11.78108589393638,12.00060215033342,12.54481428653634,11.65660232359593,11.58055425260504,11.70546679884411,11.89367188653743,12.21965164064073,12.23342008048464,12.02969229262027,12.07947680801488,11.71336025612493,11.55552774855717,11.59362149210311,12.15646994902279,11.77003949377052,11.91969928583083,11.52484361379114,11.91480241382022,11.36998506281519,11.46361627577196
SH3PXD2B,12.68272087221293,12.29685519542566,12.4237967933147,12.84652637578721,13.04755576586344,12.22296803524758,12.76848309474344,12.1644345683059,12.63375921969407,12.72598360939046,12.94319794154517,12.55684511536248,12.53981105495998,12.52314425189642,13.32406727225102,13.22495199104716,12.45741213695306,12.58183489736992,12.32790454079474,12.65258123703395,12.71072465033127,12.57237918148947,13.30637185521343,12.69861167782316,12.16499560410968,11.92534235891782,12.17809812834199,12.26004638210622,12.17724972738809,13.35543262156275,12.95214178637045
BCLAF3,NA,NA,NA,NA,7.53754762256866,NA,7.701933661075307,7.680720091188817,NA,NA,NA,NA,7.521403569619629,7.626437306351393,NA,NA,NA,NA,NA,7.657057746452269,NA,7.493981578210748,7.637732964220086,NA,NA,7.287126817403514,NA,7.472692505292753,NA,7.909060246554609,NA
