row,symbol,uniprot,symbol_representative,n_peptides,n_unique_peptides,npeptides_quant,qvalue,cv_replicates,isoDoping,present_n_lines,present_n_plex,pass_presence50,complete_case,zero_plex
ARSB,ARSB,P15848,TRUE,13,13,13,0,9.553278921936517,FALSE,31,5,TRUE,TRUE,FALSE
RPS2,RPS2,P15880,TRUE,29,29,29,0,3.926972886856793,FALSE,31,5,TRUE,TRUE,FALSE
CHN1,CHN1,P15882,TRUE,3,3,3,0.001,5.13810490405463,FALSE,20,3,TRUE,FALSE,FALSE
ST6GAL1,ST6GAL1,P15907,TRUE,8,8,8,0,8.276034995003961,FALSE,31,5,TRUE,TRUE,FALSE
TCF3,TCF3,P15923,TRUE,2,2,2,0.003,8.324803251997764,FALSE,17,3,TRUE,FALSE,FALSE
DSP,DSP,P15924,TRUE,327,325,325,0,2.024086627663524,FALSE,31,5,TRUE,TRUE,FALSE
RPA2,RPA2,P15927,TRUE,15,15,15,0,4.942300350880467,FALSE,31,5,TRUE,TRUE,FALSE
MUC1,MUC1,P15941,TRUE,9,9,9,0,7.105146450086279,FALSE,31,5,TRUE,TRUE,FALSE
COX7C,COX7C,P15954,TRUE,5,5,5,0,6.477071222992951,FALSE,31,5,TRUE,TRUE,FALSE
TIMP2,TIMP2,P16035,TRUE,10,10,10,0,4.923876906340094,FALSE,31,5,TRUE,TRUE,FALSE
ALOX15,ALOX15,P16050,TRUE,12,12,12,0,NA,FALSE,7,1,FALSE,FALSE,FALSE
NPR1,NPR1,P16066,TRUE,11,10,10,0,4.834883374346774,FALSE,24,4,TRUE,FALSE,FALSE
