pathway,pval,padj,log2err,ES,NES,size,leadingEdge,subtype,n_group,evidence,go_id,term
GO:0003085 negative regulation of systemic arterial blood pressure,0.5937929311852129,0.8197232894438258,0.00823516653906308,-0.30856032261276567,-0.9090114615065188,22,ADORA1;IER3;ADRA1A;SOD2;BMPR2;NPPA;TAC4,MC,3,"descriptive; model-level, source-confounded",GO:0003085,negative regulation of systemic arterial blood pressure
GO:0016093 polyprenol metabolic process,0.5938057188139735,0.8197232894438258,0.00860875946761927,-0.36751626884280564,-0.9039923177592497,11,DPM3;DHDDS;DOLK;AKR1C3;DHRSX;NUS1;SRD5A3;DPM2,MC,3,"descriptive; model-level, source-confounded",GO:0016093,polyprenol metabolic process
GO:0043114 regulation of vascular permeability,0.5939320528349772,0.8197232894438258,0.007709880451690745,-0.262537379332383,-0.9204348212898572,49,NPR1;BMP6;TACR2;PTP4A3;C2CD4B;AZU1;FERMT2;C2CD4A,MC,3,"descriptive; model-level, source-confounded",GO:0043114,regulation of vascular permeability
GO:0006081 aldehyde metabolic process,0.5943180981820858,0.8198367954324587,0.014701825394206443,0.21851262001750096,0.9370088289811735,72,AKR7A3;GLYCTK;ALDH3A1;RPE65;SDR16C5;AGXT;ALDH3A2;TKFC;ADH4;ALDH8A1;SHPK;WNT4;BMP2;DAB2;BCO2;RPIA;RDH11,MC,3,"descriptive; model-level, source-confounded",GO:0006081,aldehyde metabolic process
GO:0007617 mating behavior,0.5942167523001554,0.8198367954324587,0.012947991996196426,0.25302255263995427,0.9154457227173569,33,TH;SLC6A4;AVPR1A;MTNR1A;NCOA1;CNR1;ABAT;ACVR2A;PI3;P2RY1;P2RX1;DMRTA1;THRB,MC,3,"descriptive; model-level, source-confounded",GO:0007617,mating behavior
GO:0032872 regulation of stress-activated MAPK cascade,0.5945535714285715,0.8198367954324587,0.007909735138144023,-0.27743936580112794,-0.9178141565671208,37,MAPK8IP2;PRDX1;FAS;MYC;CARD9;KLHDC10;FOXO1;STK25;RIPK2,MC,3,"descriptive; model-level, source-confounded",GO:0032872,regulation of stress-activated MAPK cascade
GO:0051205 protein insertion into membrane,0.5944878434126217,0.8198367954324587,0.007798087859449846,-0.2696832216398465,-0.9179202987412789,42,MAL;NOMO1;MOAP1;TMCO1;WNK1;CAMLG;EMC1;MMGT1;SEC61A1;BCS1L;WDR83OS;EMC9;MAIP1;RAB5IF;OXA1L;TMEM147;UBL4A;CCDC47;EMC3;EMC8;GRIN3B,MC,3,"descriptive; model-level, source-confounded",GO:0051205,protein insertion into membrane
GO:0014741 negative regulation of muscle hypertrophy,0.594736682164889,0.8199033698128972,0.008045209925186305,-0.2900479047914541,-0.9112271881066248,29,NOTCH1;GDF1;TOMM70;GLRX3;FOXO1;YY1;SMAD4;IGFBP5,MC,3,"descriptive; model-level, source-confounded",GO:0014741,negative regulation of muscle hypertrophy
GO:0030497 fatty acid elongation,0.5950697372688939,0.8199907256587681,0.008475078856173155,-0.3429690358358023,-0.9024249494448238,14,ELOVL5;HACD4;HACD1;ELOVL3,MC,3,"descriptive; model-level, source-confounded",GO:0030497,fatty acid elongation
GO:0061684 chaperone-mediated autophagy,0.5949486719895715,0.8199907256587681,0.008508013390965852,-0.3499083032512772,-0.9026239644507692,13,EEF1A2;EEF1A1;CLU;HSPA8;CTSA;PLK3;SNCA,MC,3,"descriptive; model-level, source-confounded",GO:0061684,chaperone-mediated autophagy
