cell_line,signature,cosine,group,cosmic_source,cosmic_genome,n_snv_used
OV2295-R2,SBS21,0.20998016566048225,MMR-d / MSI,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS10b,0.20949148433746342,POLE proofreading,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS22,0.19517529686850982,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS2,0.1882995808348952,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS7c,0.18694735555836794,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS33,0.17217747713013828,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS17a,0.15961217975619382,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS13,0.151145116326851,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS10a,0.1495406539519437,POLE proofreading,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS34,0.10602695654616968,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS28,0.10180168859904463,POLE proofreading,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS90,0.08881166550688964,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS17b,0.0641908184340438,other,COSMIC_v3.2,GRCh38,572
OV3133-R,SBS5,0.7758489028928052,clock-like (age),COSMIC_v3.2,GRCh38,437
OV3133-R,SBS40,0.7585864677464973,clock-like (age),COSMIC_v3.2,GRCh38,437
OV3133-R,SBS3,0.7341611481961116,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS94,0.7263223680223935,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS92,0.6692038124707174,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS25,0.6278122198343186,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS89,0.6260895381671665,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS4,0.5992760591941632,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS35,0.5693139549097156,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS87,0.5680278847034258,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS24,0.5652607983183039,other,COSMIC_v3.2,GRCh38,437
