our_line,depmap_ACH,spearman_hvg,spearman_allgenes,depmap_name,depmap_subtype,our_subtype,is_selfpair,our_line_has_depmap_namesake
OV1369-R2,ACH-001630,0.44283833012787094,0.8600282731104815,PEO1,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000713,0.44083606348404925,0.8618902668608077,CAOV3,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-001373,0.44056548109343874,0.8561117940818815,OV17R,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000906,0.43972710439780954,0.8600779487325697,ES2,Clear Cell Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000719,0.4305618099851518,0.8624765654433975,RMGI,Clear Cell Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000584,0.41912479012062864,0.8681253843977618,JHOS4,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-001151,0.41527630068821064,0.8501171645018514,OVCAR5,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000646,0.40713627292255805,0.8356127556545656,OVMANA,Clear Cell Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000256,0.4013454324291282,0.8529218875996099,COV318,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000280,0.3969641849997581,0.862471361390338,SNU840,"Brenner Tumor, Malignant",HGS,FALSE,FALSE
OV1369-R2,ACH-000430,0.3911103438309899,0.8377539717382091,TYKNU,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000001,0.38959496797564674,0.853259298746107,NIHOVCAR3,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000013,0.3887839028791284,0.8579636870984347,ONCODG1,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000524,0.38376602133396487,0.8483512858166721,KURAMOCHI,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-001632,0.38354388633586683,0.8377357477052748,PEO4,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000409,0.382602391979647,0.8546348617634655,OVSAHO,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000635,0.3761793348351594,0.856752557897083,SNU119,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-001374,0.3603860899685993,0.8197821812335553,PA1,Mixed Germ Cell Tumor,HGS,FALSE,FALSE
OV1369-R2,ACH-000527,0.35873073494171864,0.8451948060779889,OVISE,Clear Cell Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000796,0.35443527862253843,0.8470250707224175,MCAS,Mucinous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000443,0.35142079215692845,0.8318539960196801,OVKATE,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
