"cell_line","substrate","reference","signature","bootstrap_count_correlation_with_sbs3"
"OV3133-R","baseline","genome_full","SBS22",-0.053382258420019
"OV3133-R","baseline","genome_full","SBS23",-0.0125007332554333
"OV3133-R","baseline","genome_full","SBS24",-0.0268369763848165
"OV3133-R","baseline","genome_full","SBS25",-0.0959642681767581
"OV3133-R","baseline","genome_full","SBS26",-0.0351710401023806
"OV3133-R","baseline","genome_full","SBS28",
"OV3133-R","baseline","genome_full","SBS29",-0.0200220223720436
"OV3133-R","baseline","genome_full","SBS30",0.032601513645174
"OV3133-R","baseline","genome_full","SBS31",0.0357395933662438
"OV3133-R","baseline","genome_full","SBS32",0.0189111943231805
"OV3133-R","baseline","genome_full","SBS33",0.0563673520313917
"OV3133-R","baseline","genome_full","SBS34",
"OV3133-R","baseline","genome_full","SBS35",-0.129696863525141
"OV3133-R","baseline","genome_full","SBS36",
"OV3133-R","baseline","genome_full","SBS37",
"OV3133-R","baseline","genome_full","SBS38",-0.0146531028418247
"OV3133-R","baseline","genome_full","SBS39",-0.221304133077992
"OV3133-R","baseline","genome_full","SBS40",-0.0991967340380359
"OV3133-R","baseline","genome_full","SBS41",
"OV3133-R","baseline","genome_full","SBS42",-0.0275253090598028
"OV3133-R","baseline","genome_full","SBS44",0.197332447340993
"OV3133-R","baseline","genome_full","SBS84",-0.0466878576503075
"OV3133-R","baseline","genome_full","SBS85",
"OV3133-R","baseline","genome_full","SBS86",-0.0676671518031388
"OV3133-R","baseline","genome_full","SBS87",0.0849376834323806
"OV3133-R","baseline","genome_full","SBS88",-0.0650268413891619
"OV3133-R","baseline","genome_full","SBS89",-0.0127469948144788
"OV3133-R","baseline","genome_full","SBS90",-0.0390158726241616
"OV3133-R","baseline","genome_full","SBS91",0.0472367060403005
"OV3133-R","baseline","genome_full","SBS92",
"OV3133-R","baseline","genome_full","SBS93",
"OV3133-R","baseline","genome_full","SBS94",
"OV3133-R2","baseline","genome_full","SBS1",-0.0227834170165025
"OV3133-R2","baseline","genome_full","SBS2",0.0967952425674604
"OV3133-R2","baseline","genome_full","SBS3",1
"OV3133-R2","baseline","genome_full","SBS4",-0.0951531211185116
"OV3133-R2","baseline","genome_full","SBS5",-0.568925822107029
"OV3133-R2","baseline","genome_full","SBS6",0.0269405760875727
"OV3133-R2","baseline","genome_full","SBS7a",0.0956447755179718
"OV3133-R2","baseline","genome_full","SBS7b",0.0541173455093064
"OV3133-R2","baseline","genome_full","SBS7c",-0.00973994127106494
"OV3133-R2","baseline","genome_full","SBS7d",0.0699343161916702
"OV3133-R2","baseline","genome_full","SBS8",-0.0577541548803123
"OV3133-R2","baseline","genome_full","SBS9",
"OV3133-R2","baseline","genome_full","SBS10a",0.12260581337209
"OV3133-R2","baseline","genome_full","SBS10b",-0.0262232437713739
"OV3133-R2","baseline","genome_full","SBS10c",0.0633125751927882
"OV3133-R2","baseline","genome_full","SBS10d",0.0651231961808953
"OV3133-R2","baseline","genome_full","SBS11",0.0591438445325172
"OV3133-R2","baseline","genome_full","SBS12",0.158814484173205
"OV3133-R2","baseline","genome_full","SBS13",-0.134785617034628
"OV3133-R2","baseline","genome_full","SBS14",0.0408573602384248
"OV3133-R2","baseline","genome_full","SBS15",0.0974900584720412
"OV3133-R2","baseline","genome_full","SBS16",0.17806757438966
"OV3133-R2","baseline","genome_full","SBS17a",-0.131477331001427
"OV3133-R2","baseline","genome_full","SBS17b",0.0133046880789839
"OV3133-R2","baseline","genome_full","SBS18",-0.103540357147674
"OV3133-R2","baseline","genome_full","SBS19",0.0635644327422125
"OV3133-R2","baseline","genome_full","SBS20",-0.132018971940151
"OV3133-R2","baseline","genome_full","SBS21",-0.134458512336887
"OV3133-R2","baseline","genome_full","SBS22",
"OV3133-R2","baseline","genome_full","SBS23",-0.0313645081128453
"OV3133-R2","baseline","genome_full","SBS24",-0.0390717316874589
"OV3133-R2","baseline","genome_full","SBS25",0.00399703671649459
"OV3133-R2","baseline","genome_full","SBS26",0.0331009243411591
"OV3133-R2","baseline","genome_full","SBS28",
"OV3133-R2","baseline","genome_full","SBS29",-0.00600375419362772
"OV3133-R2","baseline","genome_full","SBS30",0.0611519012631036
"OV3133-R2","baseline","genome_full","SBS31",-0.0669572535558343
"OV3133-R2","baseline","genome_full","SBS32",0.0972247196522882
"OV3133-R2","baseline","genome_full","SBS33",0.0393175208446813
"OV3133-R2","baseline","genome_full","SBS34",
"OV3133-R2","baseline","genome_full","SBS35",-0.251723539550081
"OV3133-R2","baseline","genome_full","SBS36",0.0483572389959963
"OV3133-R2","baseline","genome_full","SBS37",
"OV3133-R2","baseline","genome_full","SBS38",-0.142436806240228
"OV3133-R2","baseline","genome_full","SBS39",-0.224400105380335
"OV3133-R2","baseline","genome_full","SBS40",-0.111111639703108
"OV3133-R2","baseline","genome_full","SBS41",
"OV3133-R2","baseline","genome_full","SBS42",-0.0531211446909807
"OV3133-R2","baseline","genome_full","SBS44",0.186221580717291
"OV3133-R2","baseline","genome_full","SBS84",-0.0245592546925665
"OV3133-R2","baseline","genome_full","SBS85",
"OV3133-R2","baseline","genome_full","SBS86",-0.0640351992353677
"OV3133-R2","baseline","genome_full","SBS87",0.076048426968162
"OV3133-R2","baseline","genome_full","SBS88",0.00627913415473398
"OV3133-R2","baseline","genome_full","SBS89",0.0894194864503799
"OV3133-R2","baseline","genome_full","SBS90",
"OV3133-R2","baseline","genome_full","SBS91",0.123607641701679
"OV3133-R2","baseline","genome_full","SBS92",-0.0531211446909808
"OV3133-R2","baseline","genome_full","SBS93",-0.0531211446909805
"OV3133-R2","baseline","genome_full","SBS94",0.013304688078984
"OV3291","baseline","genome_full","SBS1",-0.0740902436063928
"OV3291","baseline","genome_full","SBS2",-0.0730739946755251
"OV3291","baseline","genome_full","SBS3",1
"OV3291","baseline","genome_full","SBS4",-0.204542865012321
"OV3291","baseline","genome_full","SBS5",-0.0457402620271178
"OV3291","baseline","genome_full","SBS6",-0.0886084578106844
"OV3291","baseline","genome_full","SBS7a",-0.0673019911630705
"OV3291","baseline","genome_full","SBS7b",-0.0419732860422809
"OV3291","baseline","genome_full","SBS7c",
"OV3291","baseline","genome_full","SBS7d",-0.0222658736817821
"OV3291","baseline","genome_full","SBS8",-0.17489704501364
"OV3291","baseline","genome_full","SBS9",
"OV3291","baseline","genome_full","SBS10a",0.0119697724698594
"OV3291","baseline","genome_full","SBS10b",-0.0668834681126298
