"cell_line","substrate","reference","replicate","sbs3_count","total_fitted","sbs3_fraction"
"OV1369-R2","baseline","genome_full",132,0,583.277816550117,0
"OV1369-R2","baseline","genome_full",133,331.717607364689,589.02197070213,0.563166781315938
"OV1369-R2","baseline","genome_full",134,0,572.42145123728,0
"OV1369-R2","baseline","genome_full",135,0,598.476926494067,0
"OV1369-R2","baseline","genome_full",136,72.6146724479681,600.557490393289,0.120912108515065
"OV1369-R2","baseline","genome_full",137,111.598319119903,607.753169271133,0.18362441326919
"OV1369-R2","baseline","genome_full",138,0,585.592200648886,0
"OV1369-R2","baseline","genome_full",139,317.603577463924,590.782611268703,0.537598046059399
"OV1369-R2","baseline","genome_full",140,112.147144810926,592.924294267048,0.189142435038116
"OV1369-R2","baseline","genome_full",141,375.107151630815,589.78038470378,0.636011575426021
"OV1369-R2","baseline","genome_full",142,275.543635847562,592.100971293782,0.465365958183586
"OV1369-R2","baseline","genome_full",143,174.877113502935,595.666506074735,0.293582250671308
"OV1369-R2","baseline","genome_full",144,194.151517839916,579.235705245375,0.335185687073053
"OV1369-R2","baseline","genome_full",145,354.274408951803,603.283613461875,0.587243546893043
"OV1369-R2","baseline","genome_full",146,0,582.499379661013,0
"OV1369-R2","baseline","genome_full",147,0,596.787955353181,0
"OV1369-R2","baseline","genome_full",148,173.537140192999,592.054264697051,0.293110193677596
"OV1369-R2","baseline","genome_full",149,252.581413917684,605.395363833991,0.417217291388022
"OV1369-R2","baseline","genome_full",150,178.709033243077,603.165502391028,0.296285236033312
"OV1369-R2","baseline","genome_full",151,225.29365626779,563.986707430419,0.399466252128974
"OV1369-R2","baseline","genome_full",152,0,576.953885355362,0
"OV1369-R2","baseline","genome_full",153,89.3516433630587,576.913659154224,0.154878710089914
"OV1369-R2","baseline","genome_full",154,98.3908537086414,588.880002382798,0.167081329490763
"OV1369-R2","baseline","genome_full",155,318.340373671107,603.422109821504,0.527558351756905
"OV1369-R2","baseline","genome_full",156,171.450332441846,591.146878087343,0.29003000573491
"OV1369-R2","baseline","genome_full",157,0,581.948711359796,0
"OV1369-R2","baseline","genome_full",158,309.449104049622,592.779324324463,0.522030866043233
"OV1369-R2","baseline","genome_full",159,0,581.620809411859,0
"OV1369-R2","baseline","genome_full",160,310.815741074772,585.112557169446,0.531206752045078
"OV1369-R2","baseline","genome_full",161,325.798956143361,597.874223008978,0.544928922514308
"OV1369-R2","baseline","genome_full",162,0,556.066231553803,0
"OV1369-R2","baseline","genome_full",163,252.891005050629,604.96599558542,0.418025156613817
