"cell_line","substrate","reference","signature","count","fraction"
"OV2295-R2","baseline","genome_full","SBS39",0,0
"OV2295-R2","baseline","genome_full","SBS40",135.595162434487,0.24439575732488
"OV2295-R2","baseline","genome_full","SBS41",0,0
"OV2295-R2","baseline","genome_full","SBS42",0,0
"OV2295-R2","baseline","genome_full","SBS44",0,0
"OV2295-R2","baseline","genome_full","SBS84",0,0
"OV2295-R2","baseline","genome_full","SBS85",0,0
"OV2295-R2","baseline","genome_full","SBS86",0,0
"OV2295-R2","baseline","genome_full","SBS87",0,0
"OV2295-R2","baseline","genome_full","SBS88",0,0
"OV2295-R2","baseline","genome_full","SBS89",82.2613150130727,0.148267209686583
"OV2295-R2","baseline","genome_full","SBS90",0,0
"OV2295-R2","baseline","genome_full","SBS91",0,0
"OV2295-R2","baseline","genome_full","SBS92",0,0
"OV2295-R2","baseline","genome_full","SBS93",0,0
"OV2295-R2","baseline","genome_full","SBS94",0,0
"OV3133-R","baseline","genome_full","SBS1",0,0
"OV3133-R","baseline","genome_full","SBS2",0,0
"OV3133-R","baseline","genome_full","SBS3",0,0
"OV3133-R","baseline","genome_full","SBS4",0,0
"OV3133-R","baseline","genome_full","SBS5",164.05564388373,0.380831840706026
"OV3133-R","baseline","genome_full","SBS6",0,0
"OV3133-R","baseline","genome_full","SBS7a",15.8791522452306,0.0368611931613171
"OV3133-R","baseline","genome_full","SBS7b",15.8058421846082,0.0366910142837839
"OV3133-R","baseline","genome_full","SBS7c",0,0
"OV3133-R","baseline","genome_full","SBS7d",0,0
"OV3133-R","baseline","genome_full","SBS8",28.6988689721499,0.0666203419651375
"OV3133-R","baseline","genome_full","SBS9",0,0
"OV3133-R","baseline","genome_full","SBS10a",0,0
"OV3133-R","baseline","genome_full","SBS10b",0,0
"OV3133-R","baseline","genome_full","SBS10c",0,0
"OV3133-R","baseline","genome_full","SBS10d",0,0
"OV3133-R","baseline","genome_full","SBS11",0,0
"OV3133-R","baseline","genome_full","SBS12",0,0
"OV3133-R","baseline","genome_full","SBS13",12.0812015415797,0.0280447908532854
"OV3133-R","baseline","genome_full","SBS14",0,0
"OV3133-R","baseline","genome_full","SBS15",17.7633366882942,0.0412350593246178
"OV3133-R","baseline","genome_full","SBS16",0,0
"OV3133-R","baseline","genome_full","SBS17a",0,0
"OV3133-R","baseline","genome_full","SBS17b",0,0
"OV3133-R","baseline","genome_full","SBS18",0,0
"OV3133-R","baseline","genome_full","SBS19",0,0
"OV3133-R","baseline","genome_full","SBS20",0,0
"OV3133-R","baseline","genome_full","SBS21",0,0
"OV3133-R","baseline","genome_full","SBS22",0,0
"OV3133-R","baseline","genome_full","SBS23",0,0
"OV3133-R","baseline","genome_full","SBS24",52.1433657100062,0.121043406211754
"OV3133-R","baseline","genome_full","SBS25",0,0
"OV3133-R","baseline","genome_full","SBS26",0,0
"OV3133-R","baseline","genome_full","SBS28",0,0
"OV3133-R","baseline","genome_full","SBS29",0,0
"OV3133-R","baseline","genome_full","SBS30",0,0
"OV3133-R","baseline","genome_full","SBS31",0,0
"OV3133-R","baseline","genome_full","SBS32",0,0
"OV3133-R","baseline","genome_full","SBS33",0,0
"OV3133-R","baseline","genome_full","SBS34",0,0
"OV3133-R","baseline","genome_full","SBS35",30.1266407270492,0.0699347109966092
"OV3133-R","baseline","genome_full","SBS36",0,0
"OV3133-R","baseline","genome_full","SBS37",0,0
"OV3133-R","baseline","genome_full","SBS38",20.0871855494957,0.0466295438932876
"OV3133-R","baseline","genome_full","SBS39",0,0
"OV3133-R","baseline","genome_full","SBS40",0,0
"OV3133-R","baseline","genome_full","SBS41",0,0
"OV3133-R","baseline","genome_full","SBS42",0,0
"OV3133-R","baseline","genome_full","SBS44",0,0
"OV3133-R","baseline","genome_full","SBS84",0,0
"OV3133-R","baseline","genome_full","SBS85",0,0
"OV3133-R","baseline","genome_full","SBS86",0,0
"OV3133-R","baseline","genome_full","SBS87",74.1411350525939,0.172108098604181
"OV3133-R","baseline","genome_full","SBS88",0,0
"OV3133-R","baseline","genome_full","SBS89",0,0
"OV3133-R","baseline","genome_full","SBS90",0,0
"OV3133-R","baseline","genome_full","SBS91",0,0
"OV3133-R","baseline","genome_full","SBS92",0,0
"OV3133-R","baseline","genome_full","SBS93",0,0
"OV3133-R","baseline","genome_full","SBS94",0,0
"OV3133-R2","baseline","genome_full","SBS1",0,0
"OV3133-R2","baseline","genome_full","SBS2",0,0
"OV3133-R2","baseline","genome_full","SBS3",53.8404696953526,0.137637049534903
"OV3133-R2","baseline","genome_full","SBS4",0,0
"OV3133-R2","baseline","genome_full","SBS5",153.61787802021,0.392706668536723
"OV3133-R2","baseline","genome_full","SBS6",39.6960267471045,0.101478386623393
"OV3133-R2","baseline","genome_full","SBS7a",13.7622066815987,0.0351815192821076
"OV3133-R2","baseline","genome_full","SBS7b",0,0
"OV3133-R2","baseline","genome_full","SBS7c",0,0
"OV3133-R2","baseline","genome_full","SBS7d",0,0
"OV3133-R2","baseline","genome_full","SBS8",0,0
"OV3133-R2","baseline","genome_full","SBS9",0,0
"OV3133-R2","baseline","genome_full","SBS10a",0,0
"OV3133-R2","baseline","genome_full","SBS10b",0,0
"OV3133-R2","baseline","genome_full","SBS10c",0,0
"OV3133-R2","baseline","genome_full","SBS10d",0,0
"OV3133-R2","baseline","genome_full","SBS11",0,0
"OV3133-R2","baseline","genome_full","SBS12",0,0
"OV3133-R2","baseline","genome_full","SBS13",0,0
"OV3133-R2","baseline","genome_full","SBS14",0,0
"OV3133-R2","baseline","genome_full","SBS15",0,0
"OV3133-R2","baseline","genome_full","SBS16",0,0
"OV3133-R2","baseline","genome_full","SBS17a",0,0
"OV3133-R2","baseline","genome_full","SBS17b",0,0
"OV3133-R2","baseline","genome_full","SBS18",0,0
"OV3133-R2","baseline","genome_full","SBS19",0,0
"OV3133-R2","baseline","genome_full","SBS20",0,0
"OV3133-R2","baseline","genome_full","SBS21",0,0
"OV3133-R2","baseline","genome_full","SBS22",0,0
"OV3133-R2","baseline","genome_full","SBS23",0,0
"OV3133-R2","baseline","genome_full","SBS24",0,0
"OV3133-R2","baseline","genome_full","SBS25",0,0
"OV3133-R2","baseline","genome_full","SBS26",0,0
"OV3133-R2","baseline","genome_full","SBS28",0,0
"OV3133-R2","baseline","genome_full","SBS29",43.1408301612669,0.110284635544249
"OV3133-R2","baseline","genome_full","SBS30",0,0
"OV3133-R2","baseline","genome_full","SBS31",0,0
"OV3133-R2","baseline","genome_full","SBS32",0,0
"OV3133-R2","baseline","genome_full","SBS33",0,0
"OV3133-R2","baseline","genome_full","SBS34",0,0
"OV3133-R2","baseline","genome_full","SBS35",33.0608393777268,0.0845162832502266
"OV3133-R2","baseline","genome_full","SBS36",0,0
"OV3133-R2","baseline","genome_full","SBS37",0,0
"OV3133-R2","baseline","genome_full","SBS38",0,0
"OV3133-R2","baseline","genome_full","SBS39",0,0
"OV3133-R2","baseline","genome_full","SBS40",0,0
"OV3133-R2","baseline","genome_full","SBS41",0,0
"OV3133-R2","baseline","genome_full","SBS42",0,0
"OV3133-R2","baseline","genome_full","SBS44",0,0
"OV3133-R2","baseline","genome_full","SBS84",0,0
"OV3133-R2","baseline","genome_full","SBS85",0,0
"OV3133-R2","baseline","genome_full","SBS86",0,0
"OV3133-R2","baseline","genome_full","SBS87",54.0589060291804,0.138195457228398
"OV3133-R2","baseline","genome_full","SBS88",0,0
"OV3133-R2","baseline","genome_full","SBS89",0,0
"OV3133-R2","baseline","genome_full","SBS90",0,0
"OV3133-R2","baseline","genome_full","SBS91",0,0
"OV3133-R2","baseline","genome_full","SBS92",0,0
"OV3133-R2","baseline","genome_full","SBS93",0,0
"OV3133-R2","baseline","genome_full","SBS94",0,0
"OV3291","baseline","genome_full","SBS1",38.2796909598794,0.092671373180558
"OV3291","baseline","genome_full","SBS2",0,0
"OV3291","baseline","genome_full","SBS3",0,0
"OV3291","baseline","genome_full","SBS4",50.7146780716006,0.122775256002745
"OV3291","baseline","genome_full","SBS5",0,0
"OV3291","baseline","genome_full","SBS6",0,0
"OV3291","baseline","genome_full","SBS7a",25.066075717406,0.0606825081063083
"OV3291","baseline","genome_full","SBS7b",0,0
"OV3291","baseline","genome_full","SBS7c",0,0
"OV3291","baseline","genome_full","SBS7d",0,0
"OV3291","baseline","genome_full","SBS8",0,0
"OV3291","baseline","genome_full","SBS9",0,0
"OV3291","baseline","genome_full","SBS10a",0,0
"OV3291","baseline","genome_full","SBS10b",0,0
"OV3291","baseline","genome_full","SBS10c",0,0
"OV3291","baseline","genome_full","SBS10d",0,0
"OV3291","baseline","genome_full","SBS11",0,0
"OV3291","baseline","genome_full","SBS12",45.9769357246709,0.111305646973617
"OV3291","baseline","genome_full","SBS13",0,0
"OV3291","baseline","genome_full","SBS14",0,0
"OV3291","baseline","genome_full","SBS15",0,0
"OV3291","baseline","genome_full","SBS16",0,0
"OV3291","baseline","genome_full","SBS17a",0,0
"OV3291","baseline","genome_full","SBS17b",0,0
"OV3291","baseline","genome_full","SBS18",0,0
"OV3291","baseline","genome_full","SBS19",28.2120461629822,0.0682985936562819
"OV3291","baseline","genome_full","SBS20",0,0
"OV3291","baseline","genome_full","SBS21",0,0
"OV3291","baseline","genome_full","SBS22",0,0
"OV3291","baseline","genome_full","SBS23",0,0
"OV3291","baseline","genome_full","SBS24",72.5075719693775,0.175533712313218
"OV3291","baseline","genome_full","SBS25",0,0
"OV3291","baseline","genome_full","SBS26",0,0
"OV3291","baseline","genome_full","SBS28",0,0
"OV3291","baseline","genome_full","SBS29",0,0
"OV3291","baseline","genome_full","SBS30",0,0
"OV3291","baseline","genome_full","SBS31",0,0
"OV3291","baseline","genome_full","SBS32",0,0
"OV3291","baseline","genome_full","SBS33",0,0
"OV3291","baseline","genome_full","SBS34",0,0
"OV3291","baseline","genome_full","SBS35",0,0
"OV3291","baseline","genome_full","SBS36",0,0
"OV3291","baseline","genome_full","SBS37",0,0
"OV3291","baseline","genome_full","SBS38",0,0
"OV3291","baseline","genome_full","SBS39",72.0783183556611,0.174494531462267
"OV3291","baseline","genome_full","SBS40",0,0
"OV3291","baseline","genome_full","SBS41",0,0
"OV3291","baseline","genome_full","SBS42",0,0
"OV3291","baseline","genome_full","SBS44",40.103284513964,0.0970861141187062
"OV3291","baseline","genome_full","SBS84",0,0
"OV3291","baseline","genome_full","SBS85",0,0
"OV3291","baseline","genome_full","SBS86",0,0
"OV3291","baseline","genome_full","SBS87",0,0
"OV3291","baseline","genome_full","SBS88",0,0
"OV3291","baseline","genome_full","SBS89",40.1306090701618,0.0971522641862982
"OV3291","baseline","genome_full","SBS90",0,0
"OV3291","baseline","genome_full","SBS91",0,0
"OV3291","baseline","genome_full","SBS92",0,0
"OV3291","baseline","genome_full","SBS93",0,0
"OV3291","baseline","genome_full","SBS94",0,0
"TOV1369","baseline","genome_full","SBS1",0,0
"TOV1369","baseline","genome_full","SBS2",0,0
"TOV1369","baseline","genome_full","SBS3",263.375650740445,0.399494987867076
"TOV1369","baseline","genome_full","SBS4",0,0
"TOV1369","baseline","genome_full","SBS5",0,0
"TOV1369","baseline","genome_full","SBS6",89.5313701703176,0.135803494132273
"TOV1369","baseline","genome_full","SBS7a",0,0
"TOV1369","baseline","genome_full","SBS7b",0,0
"TOV1369","baseline","genome_full","SBS7c",0,0
"TOV1369","baseline","genome_full","SBS7d",0,0
"TOV1369","baseline","genome_full","SBS8",55.3651369911361,0.0839792694136717
"TOV1369","baseline","genome_full","SBS9",0,0
"TOV1369","baseline","genome_full","SBS10a",0,0
"TOV1369","baseline","genome_full","SBS10b",0,0
"TOV1369","baseline","genome_full","SBS10c",0,0
"TOV1369","baseline","genome_full","SBS10d",0,0
"TOV1369","baseline","genome_full","SBS11",0,0
"TOV1369","baseline","genome_full","SBS12",0,0
"TOV1369","baseline","genome_full","SBS13",0,0
"TOV1369","baseline","genome_full","SBS14",0,0
"TOV1369","baseline","genome_full","SBS15",0,0
"TOV1369","baseline","genome_full","SBS16",0,0
"TOV1369","baseline","genome_full","SBS17a",0,0
"TOV1369","baseline","genome_full","SBS17b",0,0
"TOV1369","baseline","genome_full","SBS18",0,0
"TOV1369","baseline","genome_full","SBS19",0,0
"TOV1369","baseline","genome_full","SBS20",0,0
"TOV1369","baseline","genome_full","SBS21",0,0
"TOV1369","baseline","genome_full","SBS22",0,0
"TOV1369","baseline","genome_full","SBS23",0,0
"TOV1369","baseline","genome_full","SBS24",0,0
"TOV1369","baseline","genome_full","SBS25",0,0
"TOV1369","baseline","genome_full","SBS26",0,0
"TOV1369","baseline","genome_full","SBS28",0,0
"TOV1369","baseline","genome_full","SBS29",88.2655830649691,0.133883515566024
"TOV1369","baseline","genome_full","SBS30",47.7505390908988,0.0724292506962396
"TOV1369","baseline","genome_full","SBS31",0,0
"TOV1369","baseline","genome_full","SBS32",0,0
"TOV1369","baseline","genome_full","SBS33",0,0
"TOV1369","baseline","genome_full","SBS34",0,0
"TOV1369","baseline","genome_full","SBS35",0,0
"TOV1369","baseline","genome_full","SBS36",0,0
"TOV1369","baseline","genome_full","SBS37",0,0
"TOV1369","baseline","genome_full","SBS38",0,0
"TOV1369","baseline","genome_full","SBS39",66.6846024720412,0.101148926943678
"TOV1369","baseline","genome_full","SBS40",0,0
"TOV1369","baseline","genome_full","SBS41",0,0
"TOV1369","baseline","genome_full","SBS42",0,0
"TOV1369","baseline","genome_full","SBS44",0,0
"TOV1369","baseline","genome_full","SBS84",0,0
"TOV1369","baseline","genome_full","SBS85",0,0
"TOV1369","baseline","genome_full","SBS86",0,0
"TOV1369","baseline","genome_full","SBS87",48.2985945583555,0.0732605553810371
"TOV1369","baseline","genome_full","SBS88",0,0
"TOV1369","baseline","genome_full","SBS89",0,0
"TOV1369","baseline","genome_full","SBS90",0,0
"TOV1369","baseline","genome_full","SBS91",0,0
"TOV1369","baseline","genome_full","SBS92",0,0
"TOV1369","baseline","genome_full","SBS93",0,0
"TOV1369","baseline","genome_full","SBS94",0,0
"TOV2295-R","baseline","genome_full","SBS1",38.684026661886,0.0952812911170833
"TOV2295-R","baseline","genome_full","SBS2",0,0
"TOV2295-R","baseline","genome_full","SBS3",67.7182619868153,0.166794514198437
"TOV2295-R","baseline","genome_full","SBS4",0,0
"TOV2295-R","baseline","genome_full","SBS5",0,0
"TOV2295-R","baseline","genome_full","SBS6",0,0
"TOV2295-R","baseline","genome_full","SBS7a",17.4572009782696,0.0429982292959893
