cell_line,gene_id,symbol,primary_assembly,tpm_restored,counts_restored
VOA4841,ENSG00000187017,ESPN,TRUE,0,0
VOA4841,ENSG00000198443,KRTAP4-1,TRUE,0,0
VOA4841,ENSG00000170790,OR10A2,TRUE,0,0
VOA4841,ENSG00000105357,MYH14,TRUE,3.50052,618.528
VOA4841,ENSG00000116127,ALMS1,TRUE,0.461524,1.81203
VOA4841,ENSG00000170903,MSANTD4,TRUE,0,0
VOA4841,ENSG00000141027,NCOR1,TRUE,4.12229,1854.09
VOA4841,ENSG00000100526,CDKN3,TRUE,0,0
VOA4841,ENSG00000255221,CARD17,TRUE,0.037155,0.5
VOA4841,ENSG00000183751,TBL3,TRUE,1.23772,136.43
VOA4841,ENSG00000136156,ITM2B,TRUE,17.6479,8479.75
VOA4841,ENSG00000188316,ENO4,TRUE,0,0
VOA4841,ENSG00000187630,DHRS4L2,TRUE,4.77267,197.999
VOA4841,ENSG00000268902,CSAG2,TRUE,0,0
VOA4841,ENSG00000064687,ABCA7,TRUE,1.797455,16.11326
VOA4841,ENSG00000213967,ZNF726,TRUE,0,0
VOA4841,ENSG00000168781,PPIP5K1,TRUE,2.70563e-07,6.85232e-05
VOA4841,ENSG00000135297,MTO1,TRUE,0.410887,1.1117
VOA4841,ENSG00000253276,CCDC71L,TRUE,7.43274,497.215
VOA4841,ENSG00000148408,CACNA1B,TRUE,0.00913994,4.17536
VOA4841,ENSG00000204397,CARD16,TRUE,0,0
VOA4841,ENSG00000141447,OSBPL1A,TRUE,0,0
VOA4841,ENSG00000109323,MANBA,TRUE,1.08574,166.303
VOA4841,ENSG00000126822,PLEKHG3,TRUE,0.0587788,1.03634
VOA4841,ENSG00000196597,ZNF782,TRUE,0,0
VOA4841,ENSG00000160211,G6PD,TRUE,29.7071,3502.67
VOA4841,ENSG00000181001,OR52N1,TRUE,0,0
VOA4841,ENSG00000174450,GOLGA6L2,TRUE,0,0
VOA4841,ENSG00000255552,LY6G6E,TRUE,0,0
VOA4841,ENSG00000168066,SF1,TRUE,0,0
VOA4841,ENSG00000131467,PSME3,TRUE,9.97583e-10,1.44223e-07
VOA4841,ENSG00000132554,RGS22,TRUE,0,0
VOA4841,ENSG00000188629,ZNF177,TRUE,0,0
VOA4841,ENSG00000187079,TEAD1,TRUE,0,0
VOA4841,ENSG00000197006,METTL9,TRUE,0,0
VOA4841,ENSG00000176893,OR51G2,TRUE,0,0
VOA4841,ENSG00000073849,ST6GAL1,TRUE,0.487228,9.475
VOA4841,ENSG00000196834,POTEI,TRUE,0,0
VOA4841,ENSG00000203697,CAPN8,TRUE,0.1912649,8.92605
VOA4841,ENSG00000132466,ANKRD17,TRUE,0,0
VOA4841,ENSG00000091536,MYO15A,TRUE,1.822653e-05,0.01027646
VOA4841,ENSG00000205045,SLFN12L,TRUE,0,0
VOA4841,ENSG00000085265,FCN1,TRUE,0.0802319,16.1959
VOA4841,ENSG00000065618,COL17A1,TRUE,9.19062,2461.27
VOA4841,ENSG00000168061,SAC3D1,TRUE,14.79948,912.623
VOA4841,ENSG00000181074,OR52N4,TRUE,0,0
VOA4841,ENSG00000223609,HBD,TRUE,0,0
VOA4841,ENSG00000135709,KIAA0513,TRUE,0,0
VOA4841,ENSG00000103021,CCDC113,TRUE,0,0
VOA4841,ENSG00000091262,ABCC6,TRUE,0,0
VOA4841,ENSG00000176742,OR51V1,TRUE,0,0
VOA4841,ENSG00000112514,CUTA,TRUE,2.95889,144.192
VOA4841,ENSG00000221978,CCNL2,TRUE,0.375654,30.2468
VOA4841,ENSG00000088881,EBF4,TRUE,0.14933654631,3.426959329
VOA4841,ENSG00000205777,GAGE1,TRUE,0.270468,35.0518
VOA4841,ENSG00000135083,CCNJL,TRUE,9.45667e-06,0.00126758
VOA4841,ENSG00000175390,EIF3F,TRUE,43.6876,2245.06
VOA4841,ENSG00000172752,COL6A5,TRUE,0.00915431,3.99044
VOA4841,ENSG00000134686,PHC2,TRUE,0.306122,3.56375
VOA4841,ENSG00000138071,ACTR2,TRUE,9.00487,538.874
VOA4841,ENSG00000048162,NOP16,TRUE,0,0
VOA4841,ENSG00000136527,TRA2B,TRUE,0,0
VOA4841,ENSG00000136546,SCN7A,TRUE,0,0
VOA4841,ENSG00000204217,BMPR2,TRUE,0.54483,85.6102
VOA4841,ENSG00000103544,VPS35L,TRUE,0.0478715,7.31401
VOA4841,ENSG00000113356,POLR3G,TRUE,0,0
VOA4841,ENSG00000187775,DNAH17,TRUE,0,0
VOA4841,ENSG00000135124,P2RX4,TRUE,0,0
VOA4841,ENSG00000167346,MMP26,TRUE,0,0
VOA4841,ENSG00000174255,ZNF80,TRUE,0.24144,23.6272
VOA4841,ENSG00000159307,SCUBE1,TRUE,0,0
VOA4841,ENSG00000181698,OR5T1,TRUE,0,0
VOA4841,ENSG00000092068,SLC7A8,TRUE,0,0
VOA4841,ENSG00000168724,DNAJC21,TRUE,16.2058,1658.7
VOA4841,ENSG00000089693,MLF2,TRUE,0,0
VOA4841,ENSG00000140987,ZSCAN32,TRUE,3.04378,438.576
VOA4841,ENSG00000174982,OR4S2,TRUE,0,0
VOA4841,ENSG00000149654,CDH22,TRUE,0.00596436,1
VOA4841,ENSG00000232237,ASCL5,TRUE,0,0
VOA4841,ENSG00000132196,HSD17B7,TRUE,0.551204,12.6721
VOA4841,ENSG00000188611,ASAH2,TRUE,0,0
VOA4841,ENSG00000274744,ELOA3D,TRUE,0,0
VOA4841,ENSG00000166313,APBB1,TRUE,0.452332,54.4912
VOA4841,ENSG00000121904,CSMD2,TRUE,0,0
VOA4841,ENSG00000100221,JOSD1,TRUE,9.0396,127.561
VOA4841,ENSG00000189375,TBC1D28,TRUE,0,0
VOA4841,ENSG00000021574,SPAST,TRUE,2.41995000124347,587.046000295881
VOA4841,ENSG00000175745,NR2F1,TRUE,0.0760512,13.4122
VOA4841,ENSG00000186073,C15orf41,TRUE,2.38954,307.831
VOA4841,ENSG00000185385,OR7A17,TRUE,0.292106,13.2189
VOA4841,ENSG00000116698,SMG7,TRUE,0.779611,2.52794
VOA4841,ENSG00000004939,SLC4A1,TRUE,0.455476,27.3448
VOA4841,ENSG00000198788,MUC2,TRUE,0,0
VOA4841,ENSG00000138311,ZNF365,TRUE,0,0
VOA4841,ENSG00000170312,CDK1,TRUE,0,0
VOA4841,ENSG00000112486,CCR6,TRUE,0,0
VOA4841,ENSG00000011376,LARS2,TRUE,1.10831,243.804
VOA4841,ENSG00000165583,SSX5,TRUE,0,0
VOA4841,ENSG00000124214,STAU1,TRUE,0,0
VOA4841,ENSG00000141337,ARSG,TRUE,0.592564,15.0256
VOA4841,ENSG00000100578,KIAA0586,TRUE,0,0
VOA4841,ENSG00000126016,AMOT,TRUE,0.402087,60.9859
VOA4841,ENSG00000164651,SP8,TRUE,0.494765,79.0101
VOA4841,ENSG00000023839,ABCC2,TRUE,0.936519,231.71
VOA4841,ENSG00000205809,KLRC2,TRUE,1.10256,36.8997
VOA4841,ENSG00000197753,LHFPL5,TRUE,1.51837,135.898
VOA4841,ENSG00000197969,VPS13A,TRUE,3.234428,2185.62
VOA4841,ENSG00000240542,KRTAP9-1,TRUE,0,0
VOA4841,ENSG00000068078,FGFR3,TRUE,2.62596e-08,5.38838e-06
VOA4841,ENSG00000183765,CHEK2,TRUE,1.017129,73.15879
VOA4841,ENSG00000147145,LPAR4,TRUE,0.821065,14.4367
VOA4841,ENSG00000135624,CCT7,TRUE,0,0
VOA4841,ENSG00000086717,PPEF1,TRUE,0.0556612,1
VOA4841,ENSG00000157087,ATP2B2,TRUE,0,0
VOA4841,ENSG00000167470,MIDN,TRUE,4.07054,45.3183
VOA4841,ENSG00000004948,CALCR,TRUE,0.00962396,1.59731
VOA4841,ENSG00000176771,NCKAP5,TRUE,0,0
VOA4841,ENSG00000087266,SH3BP2,TRUE,0.727224,316.898
VOA4841,ENSG00000274897,PANO1,TRUE,0.987119,71.0404
VOA4841,ENSG00000091010,POU4F3,TRUE,0.254777,27
VOA4841,ENSG00000130035,GALNT8,TRUE,0,0
