"model","profile","center","autosomal_span_bp","fga"
"OV1369-R2","Archived",-0.2635,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2634,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2633,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2632,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2631,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.263,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2629,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2628,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2627,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2626,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2625,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2624,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2623,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2622,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2621,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.262,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2619,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2618,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2617,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2616,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2615,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2614,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2613,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2612,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2611,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.261,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2609,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2608,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2607,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2606,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2605,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2604,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2603,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2602,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2601,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.26,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2599,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2598,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2597,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2596,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2595,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2594,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2593,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2592,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2591,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.259,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2589,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2588,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2587,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2586,2741890670,0.583702953407694
